OptCost	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
-1.1211503	4.582566261291504	0	-553.5947079906919	96.75722091500106	-347.3215938009902	-813.0985517429339	151.0	0.0	10117	10117
-1.0337739	8.289440631866455	1	-547.9808227312543	88.71096990026368	-352.3277100460608	-770.9069431687464	151.0	0.0	10117	20234
-1.1066236	11.78330397605896	2	-551.5494602210824	97.73043464288952	-328.7646418288615	-736.2434639922408	151.0	0.0	10117	30351
-1.109344	15.304134368896484	3	-545.8869642637785	86.70112103799359	-385.51015970751894	-739.1666185173208	151.0	0.0	10117	40468
-1.0310215	18.80285334587097	4	-525.3145578369657	70.10134302348519	-326.50851324130747	-717.3272166540769	151.0	0.0	10117	50585
-1.0315927	22.28604531288147	5	-534.3931153542088	73.36036777759541	-331.18304707155977	-713.1247506610059	151.0	0.0	10117	60702
-1.0742964	25.794600248336792	6	-523.284322820976	90.43868630848236	-346.28461239362343	-764.7702269088647	151.0	0.0	10117	70819
-1.0010422	29.330427646636963	7	-519.4489849815689	80.95820670794481	-319.991655098327	-716.6575379914971	151.0	0.0	10117	80936
-1.0251398	32.840301275253296	8	-530.914875571688	77.09282460071509	-334.32902489754713	-707.5450238133483	151.0	0.0	10117	91053
-1.057848	36.31859588623047	9	-540.8394011615563	76.56953482171149	-327.2018230726708	-689.9491942136576	151.0	0.0	10117	101170
-1.0799772	39.81182599067688	10	-503.8260662550569	84.28390334490997	-258.2682155072356	-679.9469402173497	151.0	0.0	10117	111287
-1.0310078	43.31935667991638	11	-499.9894237860833	81.53103230829886	-309.52917726981394	-711.8020060105285	151.0	0.0	10117	121404
-1.0777367	46.811402559280396	12	-495.6244713835598	78.45134100095389	-313.797768864318	-667.6686693800891	151.0	0.0	10117	131521
-1.0826341	50.3129825592041	13	-486.5709087324532	76.97517632306585	-296.07989720222463	-645.3516365159176	151.0	0.0	10117	141638
-1.0571544	53.77093434333801	14	-490.4035312783192	89.68757457355551	-295.48675524293446	-649.8750667420375	151.0	0.0	10117	151755
-1.0027164	57.299381732940674	15	-474.40890848527624	77.64663829713001	-303.49064561037096	-712.3461555061673	151.0	0.0	10117	161872
-0.98471534	60.840303897857666	16	-463.6333561559512	76.70869957692499	-261.7382551390875	-671.8877586147935	151.0	0.0	10117	171989
-1.0664771	64.38786268234253	17	-481.5776736705347	74.68857789945459	-350.8667632070186	-704.4472743546205	151.0	0.0	10117	182106
-1.0088202	67.8655059337616	18	-455.4118107004714	87.88947333083522	-239.75305754318669	-653.7403436094814	151.0	0.0	10117	192223
-1.040505	71.40716171264648	19	-458.77138424480717	80.03575345397206	-234.4776830466572	-611.5280651899163	151.0	0.0	10117	202340
-1.034942	74.93626022338867	20	-451.4475185827464	96.45684082622701	-246.73778970918488	-741.2040118614389	151.0	0.0	10117	212457
-0.97633886	78.46825742721558	21	-455.44010654090124	99.41599238565757	-226.79493530577008	-801.7601383353831	151.0	0.0	10117	222574
-1.074138	81.9835295677185	22	-446.4016154470558	76.86488208776738	-285.39008176904844	-656.990453207171	151.0	0.0	10117	232691
-1.042959	85.5097188949585	23	-436.0449162501979	67.29291463858328	-261.0876798944055	-706.3116483462952	151.0	0.0	10117	242808
-1.0700241	89.01121115684509	24	-427.78589431155575	70.16088975519698	-258.8493651102139	-546.3347283773421	151.0	0.0	10117	252925
-1.0392677	92.54712843894958	25	-436.8787241221501	72.0385850816541	-276.0657791873724	-626.6963395286581	151.0	0.0	10117	263042
