preOptCost	postOptCost	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.008424405	0.005035155	1.6352074146270752	0	18.90566037735849	8.217019041136044	44.0	9.0	18.90566037735849	8.217019041136044	1002	1002
0.0035587435	0.000650205	1.9418940544128418	1	20.08	9.397531590795532	45.0	9.0	20.08	9.397531590795532	1004	2006
-0.0013648799	-0.0056333323	2.235661268234253	2	22.377777777777776	13.476380801467908	68.0	10.0	22.377777777777776	13.476380801467908	1007	3013
-0.0032002386	-0.005874741	2.51314377784729	3	21.80851063829787	10.379272097366146	63.0	10.0	21.80851063829787	10.379272097366146	1025	4038
-0.003938553	-0.0068445285	2.7857437133789062	4	23.302325581395348	10.130623350781141	49.0	8.0	23.302325581395348	10.130623350781141	1002	5040
-0.008049737	-0.011461722	3.0594167709350586	5	25.375	13.490158449773672	70.0	11.0	25.375	13.490158449773672	1015	6055
-0.0034957076	-0.004856674	3.3357086181640625	6	29.764705882352942	13.101546436628842	65.0	9.0	29.764705882352942	13.101546436628842	1012	7067
-0.0055984263	-0.0073241005	3.6076531410217285	7	28.02777777777778	13.549264250445303	54.0	10.0	28.02777777777778	13.549264250445303	1009	8076
-0.0037357397	-0.0046186172	3.876396894454956	8	37.22222222222222	16.45270063013034	74.0	12.0	37.22222222222222	16.45270063013034	1005	9081
-0.0069526145	-0.008620675	4.161901473999023	9	38.55555555555556	19.093014688009415	90.0	15.0	38.55555555555556	19.093014688009415	1041	10122
-0.001922618	-0.0024372581	4.431024074554443	10	38.84615384615385	16.391114637304398	81.0	12.0	38.84615384615385	16.391114637304398	1010	11132
-0.0034790086	-0.004277117	4.705719709396362	11	42.541666666666664	23.437824071833596	125.0	11.0	42.541666666666664	23.437824071833596	1021	12153
-0.00324221	-0.004089568	5.0238869190216064	12	41.36	18.108296441134378	85.0	10.0	41.36	18.108296441134378	1034	13187
-0.010776802	-0.012470174	5.3128907680511475	13	44.625	27.104446898371982	132.0	15.0	44.625	27.104446898371982	1071	14258
