OptCost	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
-1.1636356	1.673030138015747	0	-1215.250082069583	81.3384037699126	-1092.4972990836804	-1359.5350053364764	301.0	0.0	2107	2107
-1.160171	2.490910053253174	1	-1157.4575128403199	133.57106199694624	-1024.6715622124882	-1456.359258438169	301.0	0.0	2107	4214
-1.2962638	3.1746301651000977	2	-1152.8594599781225	76.9331209466854	-1035.7588606208737	-1229.4929848520512	301.0	0.0	2107	6321
-1.1398339	3.8345508575439453	3	-1057.5737558011824	56.373456519283856	-973.8308089773227	-1154.9460209061458	301.0	0.0	2107	8428
-0.9052701	4.531376361846924	4	-1069.3207715141878	151.0646155046632	-876.7878279358304	-1269.1045250583095	301.0	0.0	2107	10535
-1.013109	5.204787731170654	5	-1044.359072952256	143.1423572155785	-836.6541604998283	-1245.5801685205997	301.0	0.0	2107	12642
-1.0154836	5.884460210800171	6	-1065.004829466711	66.6846386288092	-947.8947224967399	-1138.6977881889025	301.0	0.0	2107	14749
-1.1763862	6.571667671203613	7	-1015.5178966315312	43.25888060663517	-967.8309086660674	-1093.531451834888	301.0	0.0	2107	16856
-1.1046973	7.247180938720703	8	-1063.5755715843447	181.52468943473062	-687.4199126369313	-1251.6593742104733	301.0	0.0	2107	18963
-1.01683	7.921442985534668	9	-1036.4211069994535	83.87282665763952	-935.0628438557753	-1163.7109947492727	301.0	0.0	2107	21070
-1.1463809	8.60733699798584	10	-1019.1586466802897	121.05511885428503	-779.9286263047123	-1178.1209382851748	301.0	0.0	2107	23177
-1.0752915	9.302750587463379	11	-1005.4569935747483	92.79696544453067	-816.030808225383	-1118.1250619134103	301.0	0.0	2107	25284
-1.0141546	9.965579748153687	12	-961.6479276686757	101.01340989726042	-829.2146341155075	-1162.9574995043322	301.0	0.0	2107	27391
-1.0850505	10.65026044845581	13	-947.9041118883952	100.6961184834868	-792.0286020341575	-1089.098827923502	301.0	0.0	2107	29498
-1.0345002	11.338912963867188	14	-892.0211583140782	126.80661002957387	-682.3191179931852	-1014.9598958045251	301.0	0.0	2107	31605
-1.1473017	12.025377988815308	15	-851.0126931934789	117.51474362743589	-669.1469230512402	-1029.5278558027862	301.0	0.0	2107	33712
-1.0315448	12.700791597366333	16	-882.8300435419259	85.12210858518702	-793.1941514934767	-1068.8190627845106	301.0	0.0	2107	35819
-0.9954172	13.356828689575195	17	-800.1687392428433	50.39663211800526	-722.5144204710583	-900.5799623692164	301.0	0.0	2107	37926
-1.1084676	14.036006212234497	18	-814.8826495366284	116.38166442160808	-626.9788865336728	-993.5366664385697	301.0	0.0	2107	40033
-0.9368224	14.70453667640686	19	-899.6620160130354	96.00451278976678	-764.0140966714449	-1082.6470769625307	301.0	0.0	2107	42140
-0.99536586	15.396312952041626	20	-784.8530935977252	98.45230686588778	-640.4138844995857	-924.3779895707024	301.0	0.0	2107	44247
