OptCost	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
-1.0057032	2.6035144329071045	0	-547.2480855192676	99.88694725204836	-357.92977854834965	-798.1514118991608	151.0	0.0	5134	5134
-1.1498324	4.342997312545776	1	-541.6821424648167	82.99951817408416	-341.81678966265804	-697.6273965210398	151.0	0.0	5134	10268
-0.9032186	5.959230422973633	2	-524.2355853909203	88.13357615137906	-324.1403693849477	-712.7737712319554	151.0	0.0	5134	15402
-0.9803899	7.59730339050293	3	-543.7786503475654	104.86148890361595	-302.46451485334205	-746.4850712269746	151.0	0.0	5134	20536
-1.0336274	9.248429775238037	4	-524.3607637702798	74.56171989418611	-271.6743346790986	-640.3385171431629	151.0	0.0	5134	25670
-1.0062743	10.905874729156494	5	-509.9516029050349	85.95935375750629	-339.9812128254267	-683.9596947575953	151.0	0.0	5134	30804
-1.1478102	12.541269540786743	6	-504.54436465026606	107.5378933216858	-270.75315260968307	-710.7565592139388	151.0	0.0	5134	35938
-1.0356685	14.168215274810791	7	-502.40363427942117	63.90274131440327	-397.39892164718367	-652.2985485402221	151.0	0.0	5134	41072
-1.0603334	15.82064151763916	8	-511.0977577584397	75.3515342830904	-326.66709236458996	-666.8602396865535	151.0	0.0	5134	46206
-0.99352413	17.464097261428833	9	-488.4748363258169	75.57777331700498	-337.38023935207485	-669.6310186960368	151.0	0.0	5134	51340
-0.9251761	19.1702663898468	10	-484.0972199776905	80.09299185218347	-305.06819556917753	-687.0596818304869	151.0	0.0	5134	56474
-0.95960826	21.098953008651733	11	-486.16472374277413	88.84026299582686	-311.74087930888015	-677.8897611536996	151.0	0.0	5134	61608
-1.0228496	22.81041407585144	12	-460.1089220408244	57.233497495451324	-352.9676221535439	-591.9295847813203	151.0	0.0	5134	66742
-1.1371483	24.460179090499878	13	-491.33589907406747	81.5969988371027	-274.4698568756526	-643.6357113777515	151.0	0.0	5134	71876
-1.1347971	26.24349093437195	14	-481.2870638975049	72.58730380280342	-275.111847394198	-594.7793761937944	151.0	0.0	5134	77010
-1.0735029	27.9730281829834	15	-462.97271092513915	75.08472643870849	-282.39279858935015	-652.1702046979335	151.0	0.0	5134	82144
-1.103456	29.58320903778076	16	-467.80157914516167	73.15742534841452	-256.40976961203546	-601.5516117805457	151.0	0.0	5134	87278
-1.019172	31.23037838935852	17	-477.9154431606141	77.74100024799512	-309.11141073307476	-614.0990011209794	151.0	0.0	5134	92412
-0.974431	32.82285261154175	18	-448.5429241308868	95.59068490358203	-225.13523899442745	-619.2204891247128	151.0	0.0	5134	97546
-0.96326685	34.44150948524475	19	-446.65677811053337	75.29098868438105	-254.61438747040552	-606.537931076766	151.0	0.0	5134	102680
-1.0300629	36.26675224304199	20	-428.5764674835659	69.75736568392104	-227.25073547645667	-545.8523586110965	151.0	0.0	5134	107814
-1.0089893	38.92404818534851	21	-441.11035430549595	68.88470050035913	-270.33818124525516	-609.9232149093768	151.0	0.0	5134	112948
-1.0939894	40.95738983154297	22	-442.3042175459	83.02797329980642	-257.17408366321627	-653.8434207822108	151.0	0.0	5134	118082
-0.8823542	42.77576041221619	23	-406.1626151237085	77.33472924994365	-256.9268729093314	-624.2967362488998	151.0	0.0	5134	123216
-0.87783545	44.674203872680664	24	-404.11940669675835	87.43369158621502	-213.19164706122723	-571.8549697644397	151.0	0.0	5134	128350
-0.97984886	46.6927216053009	25	-409.70379265333554	70.58913620212441	-268.67422393382566	-566.5467349445273	151.0	0.0	5134	133484
-1.062438	49.081904888153076	26	-401.237916098657	72.41850102615382	-262.1337731646769	-547.7640383849798	151.0	0.0	5134	138618
-1.0042218	50.8989999294281	27	-434.90410347021816	63.93046445154962	-247.4362145357602	-573.969421601156	151.0	0.0	5134	143752
-0.92959493	52.5247528553009	28	-427.51806496271473	76.54294813690655	-215.64311330519115	-571.0634589807562	151.0	0.0	5134	148886
-1.064641	54.49186944961548	29	-397.80053300145613	95.77756121402827	-216.2518477465921	-623.8064048440842	151.0	0.0	5134	154020
-1.0560805	56.12866687774658	30	-404.04266054408953	82.6399050489285	-258.83527596752776	-552.2271286233736	151.0	0.0	5134	159154
-1.0272532	57.95782017707825	31	-398.87025020486715	69.78237577915542	-247.60737190294196	-580.8024728995351	151.0	0.0	5134	164288
-1.0689926	59.61057996749878	32	-379.09720628052133	75.83176553623939	-234.9192618061954	-530.194401178941	151.0	0.0	5134	169422
-0.922675	61.23497414588928	33	-402.61254667615736	74.50578680031751	-204.64999196741286	-536.7918044283964	151.0	0.0	5134	174556
-0.981883	62.924705505371094	34	-374.67211912953724	82.9215735541306	-168.96271448420612	-581.5218033444431	151.0	0.0	5134	179690
-0.9184869	64.55714011192322	35	-378.59636375387845	74.84324104713836	-240.4105106866466	-521.8254736845026	151.0	0.0	5134	184824
-0.9109073	67.45550918579102	36	-357.84598820711125	76.51599031016235	-95.02328764616527	-503.8895331948537	151.0	0.0	5134	189958
-1.0154172	71.22820615768433	37	-376.73291759623976	71.49708407749809	-247.14737481586783	-499.9529858522486	151.0	0.0	5134	195092
-1.042977	74.29562854766846	38	-384.98138767602563	76.12141643560159	-233.31461508128436	-540.117683981661	151.0	0.0	5134	200226
-0.9597741	77.20130825042725	39	-352.79579140152333	62.3436170511803	-219.30754679796877	-472.16059202467676	151.0	0.0	5134	205360
