OptCost	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
-1.263693	1.6702687740325928	0	-593.0420848229459	82.26911969469658	-477.51031664353525	-772.4824709455429	151.0	0.0	2114	2114
-1.4988846	2.489784002304077	1	-540.7451370378083	111.83029442944348	-279.81430745406317	-709.7503828906857	151.0	0.0	2114	4228
-1.3301235	3.203444480895996	2	-560.3407336167404	71.7818997268955	-469.5625768986262	-692.5459538746559	151.0	0.0	2114	6342
-1.119958	3.8947041034698486	3	-494.45263449698695	47.76489782990906	-418.34507402588093	-600.6952022388716	151.0	0.0	2114	8456
-1.05973	4.584500551223755	4	-457.93097329148856	56.950822378237014	-381.5996446394247	-604.6657391581402	151.0	0.0	2114	10570
-1.0231888	5.302990674972534	5	-441.58665057563684	48.59841333576877	-333.9352500824308	-522.780897698542	151.0	0.0	2114	12684
-0.8737433	6.0148396492004395	6	-366.78389032579804	48.41394210808755	-291.7796065271327	-450.9603553791711	151.0	0.0	2114	14798
-0.883373	6.678107738494873	7	-364.6743518401949	71.26848216273802	-261.39077099068095	-523.3810541046828	151.0	0.0	2114	16912
-0.98947513	7.366113662719727	8	-350.6024306046512	53.8449833871707	-256.0255818703434	-421.92719030243984	151.0	0.0	2114	19026
-0.7532656	8.060787916183472	9	-329.2901603173117	70.4572856851193	-185.7552371879048	-459.4043880397735	151.0	0.0	2114	21140
-0.7393423	8.76413106918335	10	-312.1064922789125	46.76783113628975	-218.02957791024386	-373.8127130268216	151.0	0.0	2114	23254
-0.7755067	9.446036577224731	11	-297.5382129625474	50.78033719692864	-207.17783393483273	-379.64773162570873	151.0	0.0	2114	25368
-0.5767192	10.139923572540283	12	-281.0278094269389	49.100182312235425	-194.817939196924	-377.0667637535069	151.0	0.0	2114	27482
-0.60978526	10.82897663116455	13	-287.9745421592666	46.04308954153939	-193.32741561171116	-388.75046870468145	151.0	0.0	2114	29596
-0.72272295	11.520296335220337	14	-280.47325434140924	40.97112805068784	-205.04823711754187	-338.9460933508351	151.0	0.0	2114	31710
-0.67197835	12.213653087615967	15	-263.2791408082332	85.63777295600956	-168.52782176134411	-456.66653899112964	151.0	0.0	2114	33824
-0.5547569	12.89626407623291	16	-260.31545083546627	38.203296196999645	-204.06534643021223	-340.75854361546254	151.0	0.0	2114	35938
-0.69960785	13.598434686660767	17	-311.7664034563591	66.71051616414105	-193.04097502863772	-449.96326285000725	151.0	0.0	2114	38052
-0.32434246	14.305343627929688	18	-270.4098356999291	34.62638239522287	-173.44792160255167	-321.46377709553536	151.0	0.0	2114	40166
-0.5278951	15.005757093429565	19	-270.362600533183	55.765402904372365	-171.72299823186106	-353.65310605446155	151.0	0.0	2114	42280
-0.5915631	15.689750909805298	20	-214.92532227163719	44.99384268119449	-145.19489414080246	-317.6072829236492	151.0	0.0	2114	44394
-0.48578984	16.398285150527954	21	-230.85221830207573	47.30108475106715	-146.26720192424887	-307.6844597747729	151.0	0.0	2114	46508
-0.53523225	17.095123767852783	22	-244.20299479866313	63.417381624992444	-139.42593331781572	-412.5433370982171	151.0	0.0	2114	48622
-0.5246624	17.78527855873108	23	-237.5991272538033	50.334932384631465	-166.9767864147004	-350.61787132857955	151.0	0.0	2114	50736
-0.10883821	18.493326663970947	24	-249.67484357561347	45.99725155880975	-161.39668546766765	-314.76759181519753	151.0	0.0	2114	52850
-0.26557982	19.211715698242188	25	-233.22563342335351	27.148093845064494	-163.21847864039577	-279.91189283623675	151.0	0.0	2114	54964
-0.25432804	19.9122211933136	26	-237.37484003436748	58.876466055676026	-124.16898845483297	-349.84035354379415	151.0	0.0	2114	57078
-0.1969291	20.626381874084473	27	-247.38391393085016	55.15771622232057	-172.29477336262067	-379.1447587920162	151.0	0.0	2114	59192
-0.36030057	21.345975637435913	28	-273.4718107614636	91.45093845803812	-132.86726810853008	-471.08872791307584	151.0	0.0	2114	61306
-0.3762767	22.0548837184906	29	-256.1173083906286	42.70719570928062	-203.7725384836682	-366.11224954756676	151.0	0.0	2114	63420
-0.036107652	22.761305570602417	30	-266.4834411113632	59.72115465428588	-137.81374488054564	-375.08698628400407	151.0	0.0	2114	65534
-0.151352	23.47371506690979	31	-296.70653721974764	56.086815267282	-181.66437528427764	-375.4547871460775	151.0	0.0	2114	67648
-0.06398122	24.167400121688843	32	-306.37333568897367	32.978061756143624	-239.17207644287907	-356.20080063693683	151.0	0.0	2114	69762
-0.26008624	24.859198093414307	33	-322.5789620989564	60.173934806618355	-166.27279378447406	-405.7946417300453	151.0	0.0	2114	71876
-0.2440976	25.572593212127686	34	-323.85029849150476	70.61990040086276	-128.67582677543854	-413.83994156158394	151.0	0.0	2114	73990
-0.008106953	26.266862392425537	35	-317.7250189693172	42.58735026126648	-213.79924045949218	-377.16518958868664	151.0	0.0	2114	76104
-0.15381254	26.961984395980835	36	-276.23999670206155	62.836899659019565	-175.98966393591522	-365.9599703371578	151.0	0.0	2114	78218
