OptCost	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
-1.0660769	7.544035911560059	0	-577.1019956504864	89.02646414389876	-302.59363079576417	-890.5125901472852	151.0	0.0	20083	20083
-1.0897752	14.28091311454773	1	-561.9971393332947	82.14651862503582	-363.86164263513865	-775.1487682880795	151.0	0.0	20083	40166
-1.0505927	20.901792526245117	2	-557.1457806575938	79.76774701470781	-335.3744213637582	-750.1252779864544	151.0	0.0	20083	60249
-1.0845628	27.5327410697937	3	-552.8081296526173	85.58092540170702	-308.4523239310975	-802.629765197671	151.0	0.0	20083	80332
-1.0660907	34.12165427207947	4	-556.5938064101193	85.64217272937323	-354.02991901563354	-778.1668688833595	151.0	0.0	20083	100415
-0.98232776	40.68886852264404	5	-538.5977496158883	83.79172919414198	-283.7828114925465	-782.8100607289933	151.0	0.0	20083	120498
-1.0504358	47.33339285850525	6	-533.0410886574556	83.24989278061965	-348.8819082460715	-753.8607757571926	151.0	0.0	20083	140581
-1.0599267	54.018471240997314	7	-537.193200627455	81.99274936879208	-238.78257403291175	-736.9587834509916	151.0	0.0	20083	160664
-1.0595022	60.60935306549072	8	-504.7788714358981	93.6599539589019	-210.06209161752872	-821.248888579888	151.0	0.0	20083	180747
-1.0077367	67.27701377868652	9	-520.0481362746441	80.1383886410823	-283.13094199203806	-749.5799217453582	151.0	0.0	20083	200830
-1.0549573	73.95568037033081	10	-513.8761357775138	88.09473235581628	-309.1743314007955	-757.8266530048431	151.0	0.0	20083	220913
-1.0257214	80.5644953250885	11	-495.0381311222954	86.65581620339377	-245.1977409436903	-722.6101344586027	151.0	0.0	20083	240996
-1.0585308	87.23926997184753	12	-522.8702992548108	81.02776342672595	-306.38862611855205	-770.7410878952825	151.0	0.0	20083	261079
-1.0487534	93.82099032402039	13	-521.260510952715	76.04557403315587	-374.95971495328956	-730.130857875288	151.0	0.0	20083	281162
-1.0618405	100.47334337234497	14	-488.74371483502694	81.52567140626812	-283.96741404282903	-708.5274301520524	151.0	0.0	20083	301245
-1.0552449	107.00463128089905	15	-502.5087145606421	80.94655375613159	-261.3473305871696	-700.6912639906419	151.0	0.0	20083	321328
-1.0859098	113.66279578208923	16	-495.67207999074725	80.85883183591073	-256.33742828329855	-751.2086020440182	151.0	0.0	20083	341411
-1.0284922	120.2834587097168	17	-487.44840267277726	78.85796222810586	-308.7819255284469	-727.2888185210215	151.0	0.0	20083	361494
-1.0512562	126.91339206695557	18	-477.8299134748632	75.66826993584131	-316.0570258569778	-678.7749055929901	151.0	0.0	20083	381577
-1.046648	133.4899787902832	19	-467.03892758595674	76.17727277831771	-284.3548523922926	-692.4489929551062	151.0	0.0	20083	401660
-1.0783112	140.06067061424255	20	-470.58829057619516	71.78487316458508	-294.01384356606974	-674.7617693360685	151.0	0.0	20083	421743
-1.0650622	146.61880683898926	21	-476.5261401726842	82.60446831724748	-259.43489484289347	-690.4364055024821	151.0	0.0	20083	441826
-1.0830225	153.2996528148651	22	-464.93789793036945	73.71910903721394	-214.3696024123481	-701.4462553577927	151.0	0.0	20083	461909
-1.0144213	159.93938302993774	23	-454.76370958303636	68.32406184973757	-264.5781734112928	-636.8689820835616	151.0	0.0	20083	481992
-1.0707425	166.5612075328827	24	-452.83434367001803	73.38690785161228	-292.4224091706915	-626.1145153314469	151.0	0.0	20083	502075
-1.0582938	173.2137496471405	25	-435.08123792824097	67.07323432693096	-253.0758862103624	-642.4592788781865	151.0	0.0	20083	522158
-1.0486175	179.81551003456116	26	-445.21203708116576	74.09807851256811	-198.26721603730198	-642.3336102600864	151.0	0.0	20083	542241
-1.1030434	186.38710927963257	27	-435.49577130036306	75.26282644996049	-248.61139237632466	-636.7223099879515	151.0	0.0	20083	562324
-1.0533655	193.11565256118774	28	-437.2272383428701	77.69314391757374	-241.7772580715178	-623.17425474937	151.0	0.0	20083	582407
-1.1044455	199.7577269077301	29	-435.028422217717	67.38634389948957	-260.064654130937	-613.5084639104914	151.0	0.0	20083	602490
-1.0244663	206.37372088432312	30	-432.7009456583689	70.79518213940646	-258.8151269937079	-664.155668286014	151.0	0.0	20083	622573
-1.0364463	213.01339149475098	31	-428.1621835337222	78.29836730987232	-233.27714034804302	-644.2390678030065	151.0	0.0	20083	642656
-1.0270486	219.623676776886	32	-415.6958219565796	73.33290431258933	-237.90443500185364	-624.7338445377916	151.0	0.0	20083	662739
-1.0769448	226.21057271957397	33	-408.15448251131016	70.27318103442167	-210.09187787487858	-617.5245981368487	151.0	0.0	20083	682822
-1.0619859	232.83536577224731	34	-401.3012495931648	71.60689656530016	-228.18143915728697	-541.3842050175815	151.0	0.0	20083	702905
-1.0873488	239.46698546409607	35	-411.6631936520156	76.55645226861617	-239.81928282782985	-634.5549808415974	151.0	0.0	20083	722988
