preOptCost	postOptCost	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
13.057706	12.940115	1.6140687465667725	0	27.62162162162162	15.56390722733704	91.0	13.0	27.62162162162162	15.56390722733704	1022	1022
10.459544	10.392096	1.8396086692810059	1	23.6046511627907	11.515691084662802	66.0	10.0	23.6046511627907	11.515691084662802	1015	2037
11.515588	11.429624	2.0537407398223877	2	25.475	13.459174380325118	71.0	9.0	25.475	13.459174380325118	1019	3056
12.763021	12.6670065	2.257244348526001	3	26.710526315789473	16.07041723942809	81.0	10.0	26.710526315789473	16.07041723942809	1015	4071
14.620275	14.526186	2.4570608139038086	4	30.87878787878788	18.838641100959542	92.0	11.0	30.87878787878788	18.838641100959542	1019	5090
12.564076	12.534105	2.6626956462860107	5	29.02777777777778	14.50954879287566	79.0	11.0	29.02777777777778	14.50954879287566	1045	6135
14.647317	14.572362	2.8591480255126953	6	34.333333333333336	17.365355036841475	76.0	10.0	34.333333333333336	17.365355036841475	1030	7165
17.098179	17.031273	3.0608127117156982	7	37.851851851851855	22.155517168757065	114.0	13.0	37.851851851851855	22.155517168757065	1022	8187
15.37705	15.338102	3.251958131790161	8	34.62068965517241	19.5614219092218	88.0	12.0	34.62068965517241	19.5614219092218	1004	9191
15.217911	15.181757	3.4490251541137695	9	36.75	17.985361110795477	80.0	14.0	36.75	17.985361110795477	1029	10220
14.600345	14.555853	3.665311574935913	10	33.96875	18.50926182854141	95.0	14.0	33.96875	18.50926182854141	1087	11307
18.84399	18.814922	3.8603219985961914	11	44.69565217391305	23.68164723744987	98.0	15.0	44.69565217391305	23.68164723744987	1028	12335
21.01798	20.978493	4.062690496444702	12	53.21052631578947	24.545508641293907	99.0	25.0	53.21052631578947	24.545508641293907	1011	13346
22.634233	22.583065	4.274517059326172	13	56.26315789473684	27.820556779140585	114.0	10.0	56.26315789473684	27.820556779140585	1069	14415
17.288622	17.255556	4.478249549865723	14	44.08695652173913	20.196670073098385	83.0	12.0	44.08695652173913	20.196670073098385	1014	15429
20.860271	20.829365	4.684092283248901	15	42.333333333333336	30.348897106082052	156.0	12.0	42.333333333333336	30.348897106082052	1016	16445
24.00154	23.954796	4.889887094497681	16	59.166666666666664	31.184486884061794	144.0	17.0	59.166666666666664	31.184486884061794	1065	17510
18.982512	18.942682	5.09087347984314	17	49.142857142857146	23.238485554879727	98.0	21.0	49.142857142857146	23.238485554879727	1032	18542
18.591005	18.550856	5.297873258590698	18	49.23809523809524	21.795379068803427	87.0	16.0	49.23809523809524	21.795379068803427	1034	19576
21.844288	21.81108	5.498614311218262	19	53.10526315789474	28.44180528884625	107.0	14.0	53.10526315789474	28.44180528884625	1009	20585
19.276972	19.25568	8.806207418441772	20	51.57142857142857	21.80557252624381	107.0	21.0	51.57142857142857	21.80557252624381	1083	21668
23.362602	23.316036	9.002532720565796	21	61.05882352941177	29.705358178252453	142.0	22.0	61.05882352941177	29.705358178252453	1038	22706
20.127314	20.118683	9.197450876235962	22	56.55555555555556	20.88918439507292	94.0	24.0	56.55555555555556	20.88918439507292	1018	23724
25.561634	25.52228	9.40500020980835	23	74.06666666666666	26.118873550663622	129.0	34.0	74.06666666666666	26.118873550663622	1111	24835
29.00118	28.936865	9.60837984085083	24	78.23076923076923	36.1325632937592	168.0	33.0	78.23076923076923	36.1325632937592	1017	25852
26.15337	26.148588	9.809288024902344	25	74.21428571428571	27.31869734247583	120.0	35.0	74.21428571428571	27.31869734247583	1039	26891
28.256475	28.177431	10.007717370986938	26	79.15384615384616	35.00955068339573	161.0	36.0	79.15384615384616	35.00955068339573	1029	27920
24.979305	24.978315	10.22526502609253	27	63.5	33.294143629172986	147.0	31.0	63.5	33.294143629172986	1016	28936
29.006313	28.977846	10.446630001068115	28	78.14285714285714	36.39438171487686	179.0	16.0	78.14285714285714	36.39438171487686	1094	30030
33.697964	33.624073	10.650465965270996	29	94.36363636363636	40.96622273237646	165.0	25.0	94.36363636363636	40.96622273237646	1038	31068
33.810326	33.74929	10.858094692230225	30	94.72727272727273	41.87012584189984	200.0	47.0	94.72727272727273	41.87012584189984	1042	32110
35.724014	35.652504	11.082873821258545	31	92.15384615384616	49.07583794315167	200.0	24.0	92.15384615384616	49.07583794315167	1198	33308
39.919376	39.8301	11.302059412002563	32	104.18181818181819	57.25670771632261	200.0	24.0	104.18181818181819	57.25670771632261	1146	34454
38.695385	38.55795	11.52640175819397	33	115.1	41.63279956957014	166.0	54.0	115.1	41.63279956957014	1151	35605
33.107624	33.04367	11.779444932937622	34	91.25	43.55480264371925	163.0	22.0	91.25	43.55480264371925	1095	36700
44.45178	44.32703	11.993266820907593	35	129.75	54.0665099668917	200.0	54.0	129.75	54.0665099668917	1038	37738
45.79175	45.714638	12.224955558776855	36	141.0	47.43416490252569	200.0	53.0	141.0	47.43416490252569	1128	38866
54.907787	54.849552	12.456134796142578	37	181.83333333333334	26.270494644922252	200.0	134.0	181.83333333333334	26.270494644922252	1091	39957
47.708805	47.803974	12.65059494972229	38	143.57142857142858	48.626439436225404	200.0	54.0	143.57142857142858	48.626439436225404	1005	40962
56.594887	56.60256	12.88144326210022	39	180.66666666666666	43.230647564995934	200.0	84.0	180.66666666666666	43.230647564995934	1084	42046
46.35563	46.346157	22.729936361312866	40	149.42857142857142	38.488800385333406	200.0	105.0	149.42857142857142	38.488800385333406	1046	43092
