OptCost	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
-1.0220813	1.2162368297576904	0	-546.5255811913006	80.39880855763904	-432.9154850567298	-644.5363910235778	151.0	0.0	755	755
-0.9731509	1.6222472190856934	1	-611.95066863679	42.005185614025585	-534.2610221014619	-658.4431199157445	151.0	0.0	755	1510
-1.2134607	2.013108730316162	2	-572.0006023191337	62.447904246220006	-496.94086672335624	-655.4385001995676	151.0	0.0	755	2265
-0.9822416	2.2978789806365967	3	-528.0055126024761	67.5265228366296	-415.2687329934438	-627.3235273067297	151.0	0.0	755	3020
-1.0314746	2.6128718852996826	4	-506.7859619831872	75.11305674792646	-412.01782692834354	-604.7807490885443	151.0	0.0	755	3775
-1.2225981	2.890472888946533	5	-504.93453171356293	56.99849110746424	-448.1995139585912	-594.7612672553869	151.0	0.0	755	4530
-0.9812869	3.2079012393951416	6	-490.3762755221331	82.49655259797048	-367.4010554294143	-594.0753641332757	151.0	0.0	755	5285
-1.0091647	3.547877311706543	7	-499.13690478814976	86.56120411531266	-352.18247107470313	-618.6608311946554	151.0	0.0	755	6040
-1.1139171	3.8233509063720703	8	-601.3062995095275	77.34427743502215	-456.7497498731615	-677.3074710352757	151.0	0.0	755	6795
-1.2190068	4.135401248931885	9	-527.6045294083037	67.98713238635887	-411.2336026518584	-622.2294998273193	151.0	0.0	755	7550
-1.1037583	4.626826286315918	10	-441.8710501777281	107.87787765713128	-264.77119672601873	-578.2036188794392	151.0	0.0	755	8305
-0.68250597	5.2761070728302	11	-407.1052632221367	79.86608974211782	-292.5056081351714	-489.47128819956777	151.0	0.0	755	9060
-1.1393089	5.6123881340026855	12	-528.2502335830918	92.21660822527522	-382.0908223991547	-640.9352614489433	151.0	0.0	755	9815
-1.0075285	5.897276163101196	13	-555.4407900527912	78.94533819700368	-449.84089578471276	-655.9524356619617	151.0	0.0	755	10570
-1.0758449	6.164631605148315	14	-442.6881634376094	45.0605567631833	-363.10180236072176	-501.066147803415	151.0	0.0	755	11325
-0.7137596	6.442680835723877	15	-444.84216810441814	63.57720275652192	-376.10753641488975	-564.633968887984	151.0	0.0	755	12080
-0.7900489	6.721027851104736	16	-415.7786329439153	91.75703802643868	-303.4705678744984	-511.8614517628558	151.0	0.0	755	12835
-1.1339116	7.02187967300415	17	-482.69118578738806	34.543853925269936	-443.4838029918392	-545.134898895557	151.0	0.0	755	13590
-0.770324	7.284195899963379	18	-475.3305338738649	73.20465018020948	-336.18930590327943	-551.1468452152778	151.0	0.0	755	14345
-0.86969876	7.565777778625488	19	-435.45356044962057	45.44897518187823	-363.3372342058151	-493.7773158071115	151.0	0.0	755	15100
-1.3088744	7.854794025421143	20	-439.076135482085	80.7241587298476	-350.9968403468496	-591.0588770213878	151.0	0.0	755	15855
-0.95715827	8.152293682098389	21	-463.03976257705835	48.4174736528443	-428.7318283840825	-557.382316482775	151.0	0.0	755	16610
-1.307929	8.43098497390747	22	-417.7249814797836	57.80434489497968	-320.0122866037401	-498.60935218422986	151.0	0.0	755	17365
-1.0730478	8.702191591262817	23	-443.64591430675154	66.69277988426258	-391.4999741509047	-568.2128341071701	151.0	0.0	755	18120
-1.0678024	8.966909885406494	24	-461.1180409444825	57.15186859266406	-395.59764388693316	-559.2487202620025	151.0	0.0	755	18875
-0.93334615	9.23365306854248	25	-375.7277424895807	51.27568328197616	-296.25959477765673	-439.32359272034637	151.0	0.0	755	19630
-1.3817701	9.501376152038574	26	-456.1043533489393	69.04691197142262	-349.8859435167982	-561.7830762551328	151.0	0.0	755	20385
-1.1859262	9.76736068725586	27	-421.24079775506834	82.56427343468367	-305.5657216572705	-558.8057548129373	151.0	0.0	755	21140
-1.0882407	10.217582702636719	28	-393.8025156085157	33.375890150487294	-330.1893441510525	-423.5968250537485	151.0	0.0	755	21895
-0.98129076	10.482617139816284	29	-409.8041664708571	101.0066993790875	-276.0922686825222	-577.1883442890698	151.0	0.0	755	22650
-1.0027695	10.748735189437866	30	-440.5699674810693	90.8493507785239	-332.4363009712688	-577.4407603929103	151.0	0.0	755	23405
-1.0811526	11.012227296829224	31	-435.9494669525744	47.6706573178036	-371.748016477821	-505.6611057085054	151.0	0.0	755	24160
