CostPreOpt	CostPostOpt	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
20.73769	20.634216	0.48919153213500977	0	25.4	11.123848254988019	58.0	12.0	25.4	11.123848254988019	1016	1016
32.244183	31.755587	0.8313422203063965	1	33.0625	22.33262397816253	85.0	10.0	33.0625	22.33262397816253	1058	2074
32.371964	31.905828	1.1307291984558105	2	41.2	18.579558659989747	84.0	17.0	41.2	18.579558659989747	1030	3104
40.383972	39.638428	1.4285638332366943	3	47.904761904761905	27.573114513796405	102.0	13.0	47.904761904761905	27.573114513796405	1006	4110
57.699543	56.119812	1.7414453029632568	4	72.0	40.38151392242082	142.0	14.0	72.0	40.38151392242082	1080	5190
61.373116	60.395634	2.05794095993042	5	89.75	34.723011102149535	154.0	48.0	89.75	34.723011102149535	1077	6267
59.179733	58.00228	2.36279034614563	6	82.0	39.08570464622977	131.0	12.0	82.0	39.08570464622977	1066	7333
70.882034	69.9553	2.6798830032348633	7	107.8	38.22773862001256	200.0	70.0	107.8	38.22773862001256	1078	8411
80.77186	79.24688	2.983767509460449	8	128.5	43.40506882842141	198.0	65.0	128.5	43.40506882842141	1028	9439
77.177246	74.633606	3.320931911468506	9	125.11111111111111	40.25321089868883	177.0	68.0	125.11111111111111	40.25321089868883	1126	10565
73.34792	71.4378	3.6468050479888916	10	137.125	26.288959184418086	192.0	109.0	137.125	26.288959184418086	1097	11662
83.235535	81.54201	3.95646071434021	11	149.42857142857142	38.100832922493375	200.0	90.0	149.42857142857142	38.100832922493375	1046	12708
74.553894	72.22052	4.253099203109741	12	147.71428571428572	27.95258375849199	191.0	116.0	147.71428571428572	27.95258375849199	1034	13742
83.198204	80.62368	4.589082956314087	13	147.875	44.56298211520409	200.0	70.0	147.875	44.56298211520409	1183	14925
77.09061	73.738686	4.902202367782593	14	160.71428571428572	22.764096328048105	189.0	120.0	160.71428571428572	22.764096328048105	1125	16050
73.92223	71.70887	5.228063344955444	15	140.375	35.898946711568016	200.0	85.0	140.375	35.898946711568016	1123	17173
87.48899	84.689545	5.5393195152282715	16	172.5	32.49487139021582	200.0	112.0	172.5	32.49487139021582	1035	18208
88.36926	85.97394	5.8302693367004395	17	168.0	41.331989225457484	200.0	84.0	168.0	41.331989225457484	1008	19216
68.73731	65.552345	6.156224966049194	18	140.25	34.127518222103404	200.0	91.0	140.25	34.127518222103404	1122	20338
72.68257	70.3759	6.466941833496094	19	145.71428571428572	34.943686475382016	200.0	79.0	145.71428571428572	34.943686475382016	1020	21358
85.15709	83.13511	6.781770467758179	20	172.33333333333334	27.49949494485712	200.0	121.0	172.33333333333334	27.49949494485712	1034	22392
66.52561	64.34123	7.097832441329956	21	141.5	38.768543949960254	200.0	76.0	141.5	38.768543949960254	1132	23524
86.1457	84.43926	7.479062080383301	22	194.16666666666666	10.237458451957474	200.0	172.0	194.16666666666666	10.237458451957474	1165	24689
63.591606	60.57668	7.784865140914917	23	132.625	38.05567467540156	200.0	74.0	132.625	38.05567467540156	1061	25750
44.462402	42.331604	8.08690881729126	24	98.36363636363636	35.98300792741113	173.0	60.0	98.36363636363636	35.98300792741113	1082	26832
66.827126	63.67934	8.377784013748169	25	147.14285714285714	49.246982710846844	200.0	64.0	147.14285714285714	49.246982710846844	1030	27862
67.8803	65.69513	8.663528203964233	26	144.71428571428572	44.238684705693906	200.0	70.0	144.71428571428572	44.238684705693906	1013	28875
61.885616	60.113724	8.978548049926758	27	139.25	49.009565392890394	200.0	62.0	139.25	49.009565392890394	1114	29989
62.050888	58.759033	9.292867183685303	28	137.75	52.964020806581516	200.0	69.0	137.75	52.964020806581516	1102	31091
65.23736	63.5293	9.579645156860352	29	146.0	56.621550667568265	200.0	56.0	146.0	56.621550667568265	1022	32113
57.79073	54.795677	9.910161018371582	30	127.11111111111111	50.18508951747066	200.0	61.0	127.11111111111111	50.18508951747066	1144	33257
59.64443	56.045338	10.205788135528564	31	132.0	38.781438859330635	200.0	73.0	132.0	38.781438859330635	1056	34313
66.881195	64.96939	10.50993013381958	32	154.57142857142858	52.76052946462682	200.0	86.0	154.57142857142858	52.76052946462682	1082	35395
58.51313	55.181835	10.806437492370605	33	148.85714285714286	48.54579155345004	200.0	84.0	148.85714285714286	48.54579155345004	1042	36437
53.981293	51.430798	11.125553607940674	34	138.0	50.59891303180336	200.0	74.0	138.0	50.59891303180336	1104	37541
61.345943	57.815613	11.46984076499939	35	166.0	37.22518348798681	194.0	85.0	166.0	37.22518348798681	1162	38703
53.85488	51.531715	11.768672943115234	36	146.0	48.69438219284497	200.0	83.0	146.0	48.69438219284497	1022	39725
49.186947	45.58565	12.07911992073059	37	134.0	40.00312487793922	200.0	85.0	134.0	40.00312487793922	1072	40797
59.618694	58.399937	12.386909246444702	38	160.71428571428572	52.412414793537195	200.0	70.0	160.71428571428572	52.412414793537195	1125	41922
66.83024	64.60205	12.743202924728394	39	191.0	14.776106839534334	200.0	160.0	191.0	14.776106839534334	1146	43068
66.25525	64.26877	13.063733339309692	40	191.83333333333334	17.81775020091544	200.0	152.0	191.83333333333334	17.81775020091544	1151	44219
51.63918	50.223446	13.386473178863525	41	161.71428571428572	17.539459885105487	189.0	135.0	161.71428571428572	17.539459885105487	1132	45351
37.4811	35.86831	13.720690965652466	42	111.5	36.24982758579687	200.0	68.0	111.5	36.24982758579687	1115	46466
45.916397	43.068222	14.03464412689209	43	121.44444444444444	53.54979222101221	200.0	63.0	121.44444444444444	53.54979222101221	1093	47559
