OptCost	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
-0.08990989	23.991640329360962	0	-78.97424792346604	49.180394020042876	63.80780720869932	-226.34401451518468	151.0	0.0	30049	30049
-0.10568898	35.34582543373108	1	-82.48552092550402	50.854370239463094	84.82585249818126	-203.97655506831808	151.0	0.0	30049	60098
-0.11831301	46.07545614242554	2	-69.64775134015316	43.89694763543624	72.66975169699457	-196.46509380634816	151.0	0.0	30049	90147
-0.13335857	56.78179407119751	3	-76.80043507145307	49.97680252141616	109.31437029881359	-220.80406357952265	151.0	0.0	30049	120196
-0.11159911	67.54871892929077	4	-72.7829546159693	49.819162506455264	89.08046238233712	-187.44248921611455	151.0	0.0	30049	150245
-0.10273768	78.2173159122467	5	-70.62607373906681	46.47054902130571	53.05736123890311	-183.1363218271669	151.0	0.0	30049	180294
-0.09398956	88.99568819999695	6	-70.9899344585257	47.0483519850777	46.19160118068076	-232.97849821383036	151.0	0.0	30049	210343
-0.08820924	99.72959542274475	7	-72.54058199725615	42.486817396751086	22.85194287532768	-208.52765775307938	151.0	0.0	30049	240392
-0.08679214	110.52556586265564	8	-69.88488082830482	43.75060687967496	94.71655226981716	-169.94159470159428	151.0	0.0	30049	270441
-0.085710526	121.27682280540466	9	-70.95564018384441	39.982663204413825	53.15837637544904	-226.47915842858515	151.0	0.0	30049	300490
-0.06321994	131.96758031845093	10	-72.52975297506538	39.67664927187235	41.23479864679389	-185.67862545359816	151.0	0.0	30049	330539
-0.079330966	142.64837789535522	11	-79.27181254373438	39.47566365376253	46.67666691818167	-175.74298312496632	151.0	0.0	30049	360588
-0.08538105	153.34157609939575	12	-76.10333883257519	39.39176887118345	59.871613799909625	-189.8026234140557	151.0	0.0	30049	390637
-0.1122224	164.160542011261	13	-84.38859200037068	34.179497855574795	6.660889248607209	-217.49604439159936	151.0	0.0	30049	420686
-0.09506202	174.84746980667114	14	-74.19241351861196	41.51816534433763	63.173819074142486	-166.054171213522	151.0	0.0	30049	450735
-0.11081689	185.54771518707275	15	-73.88077708125918	35.30193460869103	31.22564366083966	-196.48191516428352	151.0	0.0	30049	480784
-0.11315733	196.23349595069885	16	-70.67129160608252	41.99416181491803	76.46625753419542	-183.32954980710593	151.0	0.0	30049	510833
-0.12515946	206.888934135437	17	-70.96759958513276	38.83240153258598	71.9887071295938	-184.44436726096862	151.0	0.0	30049	540882
-0.120495886	217.65196657180786	18	-63.400437204505266	42.483748939823236	64.95471867821043	-181.8231521836117	151.0	0.0	30049	570931
-0.13708301	228.49437046051025	19	-69.35872289569397	42.26836402903435	68.64957246366923	-188.8464948502791	151.0	0.0	30049	600980
-0.12763914	239.2424600124359	20	-61.232903498200926	47.76047723186004	107.60386794976158	-194.87276997022195	151.0	0.0	30049	631029
-0.119818315	249.90077877044678	21	-62.05316651602767	38.571823075331196	51.753780898472286	-168.28229062139167	151.0	0.0	30049	661078
-0.05328598	260.7175831794739	22	-60.15060039791732	37.105073767051636	40.25136156677745	-174.97088274176008	151.0	0.0	30049	691127
-0.057295486	271.4790463447571	23	-60.9324980525782	41.8305416030394	80.41523687089509	-169.2811928029621	151.0	0.0	30049	721176
-0.08371902	282.2735917568207	24	-64.97358618706392	37.511611608752894	57.45907284210877	-178.29326177087606	151.0	0.0	30049	751225
-0.10890671	293.100474357605	25	-66.7176871965215	38.074577078006726	47.578752466228096	-196.73746718597616	151.0	0.0	30049	781274
