preOptCost	postOptCost	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
17.986671	17.916777	0.40053582191467285	0	20.313725490196077	10.556087726118381	64.0	9.0	20.313725490196077	10.556087726118381	1036	1036
24.558289	24.416529	0.6429970264434814	1	26.842105263157894	15.349483646020344	98.0	11.0	26.842105263157894	15.349483646020344	1020	2056
22.192091	22.079832	0.8671708106994629	2	23.282608695652176	14.417174304760188	77.0	8.0	23.282608695652176	14.417174304760188	1071	3127
23.177704	23.129646	1.098257064819336	3	25.375	14.798120657705153	71.0	10.0	25.375	14.798120657705153	1015	4142
32.80839	32.719486	1.306077241897583	4	32.34375	22.99403370306089	97.0	11.0	32.34375	22.99403370306089	1035	5177
27.456028	27.481365	1.5165448188781738	5	29.02857142857143	18.187100160413095	111.0	14.0	29.02857142857143	18.187100160413095	1016	6193
27.142544	27.084053	1.740168809890747	6	32.53125	16.520790642021343	68.0	9.0	32.53125	16.520790642021343	1041	7234
34.872402	34.74375	1.994872808456421	7	39.38461538461539	23.209873434641366	105.0	11.0	39.38461538461539	23.209873434641366	1024	8258
36.11576	36.107414	2.2795703411102295	8	39.074074074074076	24.62898913118731	113.0	12.0	39.074074074074076	24.62898913118731	1055	9313
36.67503	36.690105	2.5175669193267822	9	45.34782608695652	21.724777870785505	96.0	17.0	45.34782608695652	21.724777870785505	1043	10356
38.818302	38.794968	2.7362821102142334	10	42.291666666666664	27.026960562042902	129.0	13.0	42.291666666666664	27.026960562042902	1015	11371
28.008226	27.993647	3.0426433086395264	11	36.17857142857143	16.013506735227725	72.0	15.0	36.17857142857143	16.013506735227725	1013	12384
39.30227	39.280693	3.267033100128174	12	43.75	27.295069762382607	127.0	14.0	43.75	27.295069762382607	1050	13434
45.15545	45.1044	3.4854304790496826	13	56.10526315789474	28.820487480522576	148.0	20.0	56.10526315789474	28.820487480522576	1066	14500
37.81847	37.81635	3.696927070617676	14	42.916666666666664	26.346911056558838	126.0	12.0	42.916666666666664	26.346911056558838	1030	15530
58.993782	58.944157	3.91447114944458	15	65.6875	42.26954984087245	156.0	22.0	65.6875	42.26954984087245	1051	16581
46.045692	45.988674	4.14278507232666	16	55.36842105263158	30.951933068304793	156.0	15.0	55.36842105263158	30.951933068304793	1052	17633
42.523293	42.45196	4.506285190582275	17	54.75	27.431505609426544	125.0	19.0	54.75	27.431505609426544	1095	18728
37.55201	37.544857	4.713580846786499	18	51.65	20.404104979145743	96.0	18.0	51.65	20.404104979145743	1033	19761
50.797714	50.718727	4.929176330566406	19	69.2	29.89135884053004	130.0	19.0	69.2	29.89135884053004	1038	20799
49.701145	49.613888	5.2638280391693115	20	61.11764705882353	34.268631433805766	125.0	20.0	61.11764705882353	34.268631433805766	1039	21838
60.888023	60.854958	5.470141172409058	21	68.06666666666666	45.47741808365506	200.0	19.0	68.06666666666666	45.47741808365506	1021	22859
53.89493	53.860424	5.6870832443237305	22	66.125	36.66209725315779	160.0	24.0	66.125	36.66209725315779	1058	23917
38.18037	38.224407	5.890674591064453	23	55.72222222222222	17.769529336465446	94.0	26.0	55.72222222222222	17.769529336465446	1003	24920
40.088287	40.11448	6.110394716262817	24	53.65	23.887810699182957	103.0	19.0	53.65	23.887810699182957	1073	25993
50.922153	50.930595	6.3154871463775635	25	71.71428571428571	27.11201254960236	135.0	27.0	71.71428571428571	27.11201254960236	1004	26997
40.731907	40.718983	6.52480411529541	26	61.05882352941177	16.440518770386973	88.0	29.0	61.05882352941177	16.440518770386973	1038	28035
54.42212	54.397644	6.744130849838257	27	67.625	37.55808002281267	125.0	16.0	67.625	37.55808002281267	1082	29117
54.766655	54.756527	6.949602365493774	28	78.15384615384616	30.81419791101836	122.0	30.0	78.15384615384616	30.81419791101836	1016	30133
57.82962	57.793255	7.164310455322266	29	80.6923076923077	33.1509011720754	138.0	34.0	80.6923076923077	33.1509011720754	1049	31182
77.57544	77.285866	7.376418828964233	30	105.1	46.25029729634178	200.0	30.0	105.1	46.25029729634178	1051	32233
50.33586	50.314854	7.587445020675659	31	61.470588235294116	35.06819850965833	154.0	16.0	61.470588235294116	35.06819850965833	1045	33278
77.27569	77.32741	7.795466661453247	32	101.4	49.31977291107493	184.0	29.0	101.4	49.31977291107493	1014	34292
84.72699	84.62858	8.003472805023193	33	126.875	38.050747364539376	200.0	72.0	126.875	38.050747364539376	1015	35307
79.96889	79.93759	8.21491813659668	34	104.7	51.77847042932033	200.0	25.0	104.7	51.77847042932033	1047	36354
57.46771	57.484467	8.421007633209229	35	73.0	39.82282188465733	162.0	22.0	73.0	39.82282188465733	1022	37376
71.67032	71.59999	8.634134292602539	36	95.36363636363636	45.77071856204521	200.0	41.0	95.36363636363636	45.77071856204521	1049	38425
95.516914	95.45152	8.846530675888062	37	148.71428571428572	33.20376177360582	200.0	120.0	148.71428571428572	33.20376177360582	1041	39466
59.830734	59.782097	9.062910318374634	38	87.83333333333333	30.104909160393685	128.0	15.0	87.83333333333333	30.104909160393685	1054	40520
69.13125	69.10994	9.268093824386597	39	100.9	35.384883778246326	133.0	21.0	100.9	35.384883778246326	1009	41529
95.912224	95.84109	9.480421781539917	40	146.0	41.541717414116206	200.0	61.0	146.0	41.541717414116206	1022	42551
90.15131	90.02924	9.719057321548462	41	126.11111111111111	53.85050179162564	200.0	32.0	126.11111111111111	53.85050179162564	1135	43686
78.32646	78.197136	9.943422079086304	42	121.44444444444444	27.82928557836994	163.0	67.0	121.44444444444444	27.82928557836994	1093	44779
91.974724	92.009834	10.166995286941528	43	136.75	44.248587548078866	200.0	49.0	136.75	44.248587548078866	1094	45873
65.87952	65.7825	10.387150287628174	44	94.81818181818181	33.275211034965466	158.0	45.0	94.81818181818181	33.275211034965466	1043	46916
