OptCost	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
-1.1662266	1.6584975719451904	0	-559.9503831103755	104.70778800505373	-384.295100848232	-735.7998172007606	151.0	0.0	2114	2114
-1.1503481	2.4914302825927734	1	-555.6109679585695	104.54916779717925	-360.5883714914848	-710.273773501178	151.0	0.0	2114	4228
-1.1490403	3.1896369457244873	2	-550.8527284350596	84.2407849325587	-450.50719656979254	-768.7593058691327	151.0	0.0	2114	6342
-0.9778293	3.8818390369415283	3	-512.1061533802374	61.32507951180859	-413.7398220048599	-629.5830733054092	151.0	0.0	2114	8456
-1.055256	4.583059787750244	4	-544.7881442005698	67.9365266841681	-372.6663907637159	-675.0478451373667	151.0	0.0	2114	10570
-0.97929263	5.284904718399048	5	-533.5631550794134	64.36370019062545	-448.00782556449184	-684.85232328174	151.0	0.0	2114	12684
-1.0255083	5.969784498214722	6	-520.9008161654335	65.95654316134042	-434.7207616107941	-715.9404062013996	151.0	0.0	2114	14798
-1.132497	6.652673721313477	7	-507.21949813030426	57.87979131752722	-418.6167486095101	-597.4698370935491	151.0	0.0	2114	16912
-1.166283	7.341728687286377	8	-484.72249029651346	83.44105282548335	-351.0306148626625	-634.7765614232029	151.0	0.0	2114	19026
-1.102565	8.028236150741577	9	-475.46897758534124	83.71576441174972	-365.93245039483463	-637.9545570195492	151.0	0.0	2114	21140
-1.1196102	8.688185453414917	10	-484.1027693355849	66.27332807312372	-349.8398473440465	-601.9555305610731	151.0	0.0	2114	23254
-1.0869112	9.44474458694458	11	-499.2249285653106	70.49412891761307	-328.4394942361718	-576.4050311068056	151.0	0.0	2114	25368
-0.7936192	10.123016119003296	12	-438.9840890725964	60.98832052938486	-306.7849813383955	-534.5665139679965	151.0	0.0	2114	27482
-0.9643414	10.82893967628479	13	-425.435060542577	60.088294266815645	-315.030433197366	-519.7381413698588	151.0	0.0	2114	29596
-1.0597949	11.541899681091309	14	-472.2442570833185	85.02644585699602	-326.16875643198483	-597.1915258398825	151.0	0.0	2114	31710
-1.0911992	12.20975923538208	15	-438.4027848429891	78.62747580459919	-239.60219160167236	-554.5927471113083	151.0	0.0	2114	33824
-1.101084	12.883131980895996	16	-412.9518760764289	77.44728386446691	-291.3264547017949	-555.7439846095477	151.0	0.0	2114	35938
-1.2167839	13.56871771812439	17	-401.3334343595903	59.536294891643195	-327.94090086037374	-540.6433692526921	151.0	0.0	2114	38052
-0.87273955	14.230478286743164	18	-409.83261302030013	75.87134631442945	-308.299193316559	-535.6387577006159	151.0	0.0	2114	40166
-0.7988763	14.940785884857178	19	-389.10899687180796	53.76763867760945	-290.18499126882784	-490.4181526425505	151.0	0.0	2114	42280
-1.0703787	15.629323959350586	20	-407.5001295441311	71.15571580765523	-270.89511374362945	-547.8214082971313	151.0	0.0	2114	44394
-1.133723	16.321603775024414	21	-400.50061871713007	66.25574802349333	-232.44308863891527	-490.62868049757515	151.0	0.0	2114	46508
-1.0906258	17.001371145248413	22	-410.38820477734924	44.02811026056827	-303.21703645297487	-479.4778661797866	151.0	0.0	2114	48622
-1.074746	17.69357705116272	23	-376.4598162147607	62.05805755678291	-250.55746468208525	-467.295962562431	151.0	0.0	2114	50736
-0.72731143	18.390363454818726	24	-361.50484475692446	84.19413955846194	-207.43025721584468	-486.785065331993	151.0	0.0	2114	52850
-0.94213265	19.061311721801758	25	-371.6822205408103	47.10642684321078	-255.34873984289015	-459.72766156536477	151.0	0.0	2114	54964
-0.99635035	19.76228666305542	26	-343.2168943503298	72.19406215800615	-220.12797775596158	-483.2736268155096	151.0	0.0	2114	57078
-1.0828742	20.46128821372986	27	-348.49821517720363	31.966104568485427	-300.45594890530646	-421.7014080500986	151.0	0.0	2114	59192
-0.9538165	21.145246744155884	28	-297.7400617366114	59.08085789356164	-184.57320644293395	-432.42266563640413	151.0	0.0	2114	61306
-1.0202157	21.823052883148193	29	-327.22664699591127	59.04510907084478	-228.1444147587939	-415.48731652762905	151.0	0.0	2114	63420
-0.93554443	22.48975944519043	30	-326.56094699345607	65.10617282745041	-154.84680196927496	-420.66093569213035	151.0	0.0	2114	65534
-1.1207608	23.18105435371399	31	-327.8036361525098	65.69925328815339	-204.12915306755912	-468.5013032724221	151.0	0.0	2114	67648
-1.0146106	23.86909818649292	32	-327.6908204009474	86.7279613926132	-192.9626078884362	-488.8335170187837	151.0	0.0	2114	69762
-1.028709	24.561465978622437	33	-310.01363275252504	51.28600303758958	-229.8921565635365	-426.57440362251924	151.0	0.0	2114	71876
-0.9274377	25.239935398101807	34	-321.2162421068773	43.88894436760701	-220.22802440657222	-388.27052884059304	151.0	0.0	2114	73990
-1.0294284	25.941338539123535	35	-299.3574012603254	62.882095427783625	-164.25862182814762	-396.3778112547853	151.0	0.0	2114	76104
-0.9744883	26.65348982810974	36	-268.66031331300655	58.178774670225366	-158.20354601047194	-347.00847636667845	151.0	0.0	2114	78218
-0.9368871	27.35074210166931	37	-296.7349663607758	48.37531799140116	-186.233408579965	-369.97266000151046	151.0	0.0	2114	80332
-0.8722879	28.044739961624146	38	-290.6636580711387	53.97395792487459	-212.47211206172219	-389.1524558093528	151.0	0.0	2114	82446
-1.2185837	28.72322154045105	39	-296.069051540177	47.45940478806861	-245.78104113191716	-380.1370017296732	151.0	0.0	2114	84560
-1.000166	29.411845207214355	40	-298.3860709861827	45.61684125836461	-193.97997177200244	-353.44693997680145	151.0	0.0	2114	86674
-1.0825655	30.100173711776733	41	-253.5538588794427	87.25390777820661	-57.06152596323829	-406.9310613785474	151.0	0.0	2114	88788
-0.90782636	30.78782367706299	42	-254.3503649009254	58.69728273117627	-131.18181191010376	-357.64703869530445	151.0	0.0	2114	90902
