OptCost	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
-1.3996459	1.6623294353485107	0	-588.7680639780311	94.0943907596636	-471.9841951652136	-772.8399634750836	151.0	0.0	2114	2114
-1.585144	2.4991233348846436	1	-581.4877602587352	91.04586836073878	-415.3102703293673	-729.7339875901124	151.0	0.0	2114	4228
-1.3116124	3.202908754348755	2	-526.2869676929907	56.9360865544515	-410.8320061058823	-616.1719800553519	151.0	0.0	2114	6342
-1.0525305	3.900472640991211	3	-465.973038338906	61.32719222428131	-348.26253840776496	-584.856895350787	151.0	0.0	2114	8456
-1.1709437	4.60769510269165	4	-403.59523563736775	55.306875948751625	-327.02348805958286	-532.215245617866	151.0	0.0	2114	10570
-1.031076	5.298522710800171	5	-391.5374828005743	56.37823753897362	-277.9967653360636	-485.95051945555076	151.0	0.0	2114	12684
-0.9835252	6.006222248077393	6	-357.1016709482286	38.71765553779348	-302.5958843862402	-436.82953812194745	151.0	0.0	2114	14798
-1.0650474	6.726758241653442	7	-332.9774690700042	42.28095086168128	-266.45287942217226	-393.98130131926064	151.0	0.0	2114	16912
-1.2003777	7.458371162414551	8	-315.6536816783368	40.89669556552152	-247.0482922238371	-407.96351524511863	151.0	0.0	2114	19026
-1.0083811	8.15919017791748	9	-294.1208505215026	57.38937695420972	-205.0514714874043	-412.4037017747643	151.0	0.0	2114	21140
-1.0744746	8.841334342956543	10	-257.80534774643047	46.99001101619581	-130.4087106893131	-345.57736871890944	151.0	0.0	2114	23254
-1.066896	9.561494588851929	11	-255.3637384918429	50.614083313893914	-164.0430487424905	-332.36729620649663	151.0	0.0	2114	25368
-0.91207534	10.284312963485718	12	-233.52692064011526	37.74921795034899	-175.32345365020342	-299.013845185549	151.0	0.0	2114	27482
-0.7845119	10.988374710083008	13	-199.67379774399117	61.164309980060615	-102.23042334155426	-355.6709605672363	151.0	0.0	2114	29596
