preOptCost	postOptCost	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
-0.0020684495	-0.0052928836	0.48076915740966797	0	25.333333333333332	15.190326913731376	76.0	11.0	25.333333333333332	15.190326913731376	1064	1064
-0.0046770126	-0.008238763	0.8319334983825684	1	24.804878048780488	11.980104466736023	61.0	11.0	24.804878048780488	11.980104466736023	1017	2081
-0.0053975624	-0.0077142124	1.0900981426239014	2	26.23076923076923	14.845290263178676	70.0	9.0	26.23076923076923	14.845290263178676	1023	3104
-0.0059327055	-0.008435229	1.3567779064178467	3	29.58823529411765	16.42830707517976	81.0	9.0	29.58823529411765	16.42830707517976	1006	4110
-0.0077300686	-0.010110026	1.607038974761963	4	32.354838709677416	17.8931386869593	75.0	12.0	32.354838709677416	17.8931386869593	1003	5113
-0.005052648	-0.006336598	1.8683912754058838	5	35.666666666666664	21.037004433986212	93.0	13.0	35.666666666666664	21.037004433986212	1070	6183
-0.0051476234	-0.006173516	2.117187261581421	6	40.52	20.68259171380608	90.0	19.0	40.52	20.68259171380608	1013	7196
-0.008780074	-0.010594454	2.3688113689422607	7	41.0	23.61694307060082	106.0	11.0	41.0	23.61694307060082	1025	8221
-0.00950137	-0.01162589	2.6186563968658447	8	41.2	23.46401500169994	114.0	15.0	41.2	23.46401500169994	1030	9251
-0.002304471	-0.002564427	2.8717918395996094	9	57.22222222222222	29.91015352602887	117.0	21.0	57.22222222222222	29.91015352602887	1030	10281
-0.0048823673	-0.005940592	3.128122568130493	10	49.23809523809524	28.774831532177828	104.0	16.0	49.23809523809524	28.774831532177828	1034	11315
-0.0052178153	-0.0061357054	3.3787729740142822	11	45.54545454545455	28.159815457697345	115.0	16.0	45.54545454545455	28.159815457697345	1002	12317
-0.005916314	-0.006698706	3.6282384395599365	12	56.55555555555556	27.851236202809584	118.0	14.0	56.55555555555556	27.851236202809584	1018	13335
-0.0005341792	-0.0008055742	3.8832478523254395	13	52.0	27.116415692344	140.0	20.0	52.0	27.116415692344	1040	14375
-0.0026200574	-0.002861799	4.138363599777222	14	57.833333333333336	18.166666666666664	91.0	22.0	57.833333333333336	18.166666666666664	1041	15416
-0.0076383357	-0.008674679	4.3917765617370605	15	45.130434782608695	20.76641173464263	88.0	18.0	45.130434782608695	20.76641173464263	1038	16454
