CostPreOpt	CostPostOpt	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
17.694027	17.617926	0.37998080253601074	0	20.714285714285715	9.831228876620145	55.0	8.0	20.714285714285715	9.831228876620145	1015	1015
17.630598	17.60659	0.6122641563415527	1	21.1875	9.571346670314128	47.0	9.0	21.1875	9.571346670314128	1017	2032
19.277645	19.230848	0.8181681632995605	2	23.558139534883722	10.143854424486836	53.0	10.0	23.558139534883722	10.143854424486836	1013	3045
24.134153	24.047369	1.0267748832702637	3	26.68421052631579	14.843225041745109	91.0	8.0	26.68421052631579	14.843225041745109	1014	4059
21.720818	21.696775	1.2294459342956543	4	25.75	12.503499510137152	68.0	11.0	25.75	12.503499510137152	1030	5089
23.827831	23.816717	1.4320447444915771	5	25.974358974358974	15.259275748997982	67.0	9.0	25.974358974358974	15.259275748997982	1013	6102
26.10982	26.031845	1.6285126209259033	6	31.5	15.560366319595435	84.0	10.0	31.5	15.560366319595435	1008	7110
27.922266	27.867334	1.8403701782226562	7	33.483870967741936	16.69241853742327	67.0	10.0	33.483870967741936	16.69241853742327	1038	8148
26.943176	26.95925	2.0429630279541016	8	31.375	16.599604663967153	74.0	11.0	31.375	16.599604663967153	1004	9152
24.28067	24.286095	2.2731385231018066	9	29.02857142857143	14.709541537549631	70.0	10.0	29.02857142857143	14.709541537549631	1016	10168
29.2678	29.192194	2.489948272705078	10	37.57142857142857	16.575430551246132	81.0	12.0	37.57142857142857	16.575430551246132	1052	11220
38.227	38.163326	2.686739921569824	11	45.81818181818182	24.023920586169496	93.0	14.0	45.81818181818182	24.023920586169496	1008	12228
50.087933	49.83374	2.8948285579681396	12	58.94117647058823	32.72788087932385	140.0	15.0	58.94117647058823	32.72788087932385	1002	13230
45.937668	45.910427	3.1039273738861084	13	51.857142857142854	31.47831561156817	168.0	20.0	51.857142857142854	31.47831561156817	1089	14319
40.93903	40.881725	3.317657232284546	14	47.5	27.89876178418872	119.0	13.0	47.5	27.89876178418872	1045	15364
37.464554	37.431873	3.520698070526123	15	44.30434782608695	24.11464426552733	116.0	14.0	44.30434782608695	24.11464426552733	1019	16383
39.99753	39.975338	3.7443971633911133	16	49.27272727272727	25.692556081801765	113.0	15.0	49.27272727272727	25.692556081801765	1084	17467
54.975433	54.858765	3.9589128494262695	17	68.8125	35.674253233249324	130.0	18.0	68.8125	35.674253233249324	1101	18568
47.18876	47.128063	4.163041114807129	18	56.55555555555556	32.245968261719206	118.0	10.0	56.55555555555556	32.245968261719206	1018	19586
50.837006	50.771126	4.377599239349365	19	53.05	38.1896255545927	178.0	17.0	53.05	38.1896255545927	1061	20647
