OptCost	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
-0.05340707	3.5214648246765137	10	16.181818181818183	8.85045640136127	41.0	4.0	16.181818181818183	8.85045640136127	712	7780
-0.04743672	3.7304701805114746	11	16.928571428571427	9.510377432655584	40.0	4.0	16.928571428571427	9.510377432655584	711	8491
-0.03455936	3.9473063945770264	12	16.568181818181817	7.667516272243833	32.0	5.0	16.568181818181817	7.667516272243833	729	9220
-0.04326427	4.164440155029297	13	19.97222222222222	13.225577305423323	54.0	4.0	19.97222222222222	13.225577305423323	719	9939
-0.07722794	4.374634265899658	14	18.55263157894737	11.476973212804138	61.0	4.0	18.55263157894737	11.476973212804138	705	10644
-0.049177017	4.585138559341431	15	22.84375	14.792543254542135	57.0	3.0	22.84375	14.792543254542135	731	11375
-0.0033993837	4.792281866073608	16	25.107142857142858	15.499629686162288	65.0	7.0	25.107142857142858	15.499629686162288	703	12078
0.008580138	5.00249457359314	17	23.733333333333334	9.128465856259137	50.0	9.0	23.733333333333334	9.128465856259137	712	12790
-0.042750217	5.214659214019775	18	22.5	9.404121436902013	42.0	5.0	22.5	9.404121436902013	720	13510
0.008545319	5.421623229980469	19	31.52173913043478	12.665837534631738	66.0	13.0	31.52173913043478	12.665837534631738	725	14235
0.0049953507	5.635343313217163	20	27.333333333333332	16.4226582410919	86.0	7.0	27.333333333333332	16.4226582410919	738	14973
0.00054127374	5.841394901275635	21	32.72727272727273	13.225944950539859	59.0	8.0	32.72727272727273	13.225944950539859	720	15693
-0.059131812	6.045355796813965	22	30.73913043478261	15.828475691680396	64.0	8.0	30.73913043478261	15.828475691680396	707	16400
0.025721258	6.256706237792969	23	29.32	9.409442066350161	53.0	8.0	29.32	9.409442066350161	733	17133
-0.00338836	6.461200952529907	24	29.208333333333332	11.284130326357554	63.0	16.0	29.208333333333332	11.284130326357554	701	17834
0.00077010604	6.6694231033325195	25	32.81818181818182	16.41683272419546	78.0	8.0	32.81818181818182	16.41683272419546	722	18556
-0.015195961	6.870488405227661	26	39.0	24.28534080011598	127.0	20.0	39.0	24.28534080011598	702	19258
0.021650098	7.072775602340698	27	37.05263157894737	17.886995229438345	75.0	12.0	37.05263157894737	17.886995229438345	704	19962
-0.017590858	7.298830509185791	28	33.95238095238095	12.564031012515319	52.0	9.0	33.95238095238095	12.564031012515319	713	20675
-0.008682619	7.502854585647583	29	40.0	14.094916341243982	74.0	22.0	40.0	14.094916341243982	720	21395
0.004123102	7.717856168746948	30	36.95	13.19649574697768	75.0	11.0	36.95	13.19649574697768	739	22134
0.01864204	7.921401739120483	31	38.21052631578947	16.430328014691614	69.0	13.0	38.21052631578947	16.430328014691614	726	22860
-0.105410226	8.132553339004517	32	42.55555555555556	18.625616238044678	81.0	14.0	42.55555555555556	18.625616238044678	766	23626
0.0013932254	8.346555709838867	33	41.666666666666664	23.048258550750038	107.0	13.0	41.666666666666664	23.048258550750038	750	24376
-0.04513175	8.547261476516724	34	41.705882352941174	20.36653745119344	91.0	9.0	41.705882352941174	20.36653745119344	709	25085
-0.028578676	8.746705055236816	35	47.6	16.887075926084226	80.0	13.0	47.6	16.887075926084226	714	25799
-0.032298006	8.947976350784302	36	44.625	26.746203001547716	92.0	11.0	44.625	26.746203001547716	714	26513
0.08294441	9.165655136108398	37	55.357142857142854	24.670998424573458	122.0	18.0	55.357142857142854	24.670998424573458	775	27288
-0.031754624	9.372706651687622	38	66.54545454545455	27.893836518171522	115.0	28.0	66.54545454545455	27.893836518171522	732	28020
-0.04264361	9.581250429153442	39	56.38461538461539	25.88892980388592	118.0	19.0	56.38461538461539	25.88892980388592	733	28753
-0.029538516	9.80951189994812	40	68.41666666666667	44.14079430891816	170.0	19.0	68.41666666666667	44.14079430891816	821	29574
0.007502419	10.009341478347778	41	71.1	23.834638658893066	120.0	45.0	71.1	23.834638658893066	711	30285
0.0155925015	10.211783409118652	42	71.6	56.79119650086622	183.0	9.0	71.6	56.79119650086622	716	31001
-0.03317109	10.417351007461548	43	73.9	18.33275756671647	109.0	44.0	73.9	18.33275756671647	739	31740
-0.07547561	10.633919954299927	44	59.46153846153846	25.790920837246897	114.0	9.0	59.46153846153846	25.790920837246897	773	32513
-0.012084886	10.852491617202759	45	78.1	27.373162038756135	144.0	49.0	78.1	27.373162038756135	781	33294
-0.044986304	11.072359323501587	46	80.3	40.56858390429718	162.0	14.0	80.3	40.56858390429718	803	34097
-0.0077010966	11.273999214172363	47	92.875	47.00382298281705	178.0	11.0	92.875	47.00382298281705	743	34840
0.016002227	11.493520021438599	48	131.16666666666666	51.19705937735964	175.0	49.0	131.16666666666666	51.19705937735964	787	35627
-0.035094917	11.699153423309326	49	94.0	40.07492981902776	158.0	40.0	94.0	40.07492981902776	752	36379
-0.0007805009	11.895062685012817	50	101.57142857142857	54.29511196851397	215.0	37.0	101.57142857142857	54.29511196851397	711	37090
-0.024305057	12.11035704612732	51	112.14285714285714	66.15442663393966	210.0	41.0	112.14285714285714	66.15442663393966	785	37875
-0.013164636	12.316014528274536	52	82.33333333333333	29.20426148507935	121.0	31.0	82.33333333333333	29.20426148507935	741	38616
-0.03210865	12.530542373657227	53	98.375	39.55040296886999	160.0	53.0	98.375	39.55040296886999	787	39403
-0.03597273	12.739945888519287	54	93.25	44.97985660270606	161.0	39.0	93.25	44.97985660270606	746	40149
-0.03995518	12.940729856491089	55	120.33333333333333	80.60741625654278	289.0	58.0	120.33333333333333	80.60741625654278	722	40871
0.01751356	13.148269653320312	56	93.875	23.634918552853108	121.0	53.0	93.875	23.634918552853108	751	41622
-0.038063537	13.360033988952637	57	85.0	25.02887221679084	148.0	55.0	85.0	25.02887221679084	765	42387
-0.023335196	13.632806539535522	58	129.625	91.08366689478416	359.0	53.0	129.625	91.08366689478416	1037	43424
-0.0283848	13.861334562301636	59	102.625	48.49983891725827	164.0	39.0	102.625	48.49983891725827	821	44245
-0.0293439	14.074454545974731	60	97.0	41.46685423323066	153.0	38.0	97.0	41.46685423323066	776	45021
-0.017890643	14.330324649810791	61	136.0	69.99387728325141	254.0	50.0	136.0	69.99387728325141	952	45973
-0.056529034	14.531095504760742	62	101.14285714285714	29.420248476315816	136.0	43.0	101.14285714285714	29.420248476315816	708	46681
-0.0054245875	14.727926015853882	63	119.33333333333333	49.22284925610147	199.0	68.0	119.33333333333333	49.22284925610147	716	47397
-0.016523113	14.934882164001465	64	107.14285714285714	37.46399632191103	166.0	53.0	107.14285714285714	37.46399632191103	750	48147
-0.0108316215	15.186360359191895	65	188.0	78.86951248739908	285.0	89.0	188.0	78.86951248739908	940	49087
-0.022547731	15.395422220230103	66	97.5	27.308423608842748	151.0	60.0	97.5	27.308423608842748	780	49867
-0.03711455	15.607011795043945	67	126.16666666666667	41.678998175206765	180.0	54.0	126.16666666666667	41.678998175206765	757	50624
0.006953191	15.814340591430664	68	150.0	64.09992199683242	261.0	91.0	150.0	64.09992199683242	750	51374
0.008561366	16.047137022018433	69	217.0	109.47602477255009	396.0	100.0	217.0	109.47602477255009	868	52242
0.03617103	16.24016833305359	70	176.0	53.474292889200505	239.0	122.0	176.0	53.474292889200505	704	52946
0.024372708	16.44904351234436	71	126.33333333333333	59.829387056492195	231.0	68.0	126.33333333333333	59.829387056492195	758	53704
-0.077166595	16.645719528198242	72	117.66666666666667	17.950549357115012	140.0	84.0	117.66666666666667	17.950549357115012	706	54410
-0.092963	16.847922325134277	73	122.66666666666667	72.63531433737235	240.0	40.0	122.66666666666667	72.63531433737235	736	55146
-0.017197397	17.057072639465332	74	128.5	49.016153799878396	178.0	47.0	128.5	49.016153799878396	771	55917
-0.020278972	17.271676063537598	75	155.6	59.69455586567337	236.0	92.0	155.6	59.69455586567337	778	56695
0.012927757	17.48915696144104	76	110.85714285714286	25.70952336852503	156.0	83.0	110.85714285714286	25.70952336852503	776	57471
-0.015491006	17.761733531951904	77	172.83333333333334	102.97963660625122	384.0	61.0	172.83333333333334	102.97963660625122	1037	58508
-0.026294012	17.964892387390137	78	184.25	41.06321346412139	244.0	128.0	184.25	41.06321346412139	737	59245
-0.01590825	18.177546977996826	79	107.85714285714286	37.80940386211033	182.0	53.0	107.85714285714286	37.80940386211033	755	60000
0.072250515	18.417487144470215	80	182.4	79.21262525633146	331.0	118.0	182.4	79.21262525633146	912	60912
-0.029549796	18.648081064224243	81	118.85714285714286	69.01641330960665	274.0	51.0	118.85714285714286	69.01641330960665	832	61744
-0.024615292	18.854414701461792	82	149.8	37.39732610762432	210.0	104.0	149.8	37.39732610762432	749	62493
0.005854185	19.05652117729187	83	187.75	45.838711805634325	266.0	149.0	187.75	45.838711805634325	751	63244
0.0197838	19.284857988357544	84	164.6	125.37559571144617	406.0	70.0	164.6	125.37559571144617	823	64067
0.0039592762	19.484105825424194	85	188.25	71.99088483967952	276.0	83.0	188.25	71.99088483967952	753	64820
0.00944789	19.699973344802856	86	202.5	48.153400710645556	261.0	153.0	202.5	48.153400710645556	810	65630
-0.006821244	19.903467178344727	87	244.0	26.770630673681683	274.0	209.0	244.0	26.770630673681683	732	66362
-0.018725496	20.16403818130493	88	249.0	181.95191672527113	521.0	74.0	249.0	181.95191672527113	996	67358
-0.01593175	20.376742601394653	89	195.75	96.63429774153688	360.0	111.0	195.75	96.63429774153688	783	68141
-0.013586872	20.5919771194458	90	193.75	43.59687488800086	261.0	147.0	193.75	43.59687488800086	775	68916
-0.03510833	20.7874596118927	91	242.0	97.32762540341085	357.0	119.0	242.0	97.32762540341085	726	69642
0.00185838	21.02181124687195	92	219.75	114.23304031671397	384.0	112.0	219.75	114.23304031671397	879	70521
-0.031146498	21.237669944763184	93	194.25	109.19334915643901	370.0	70.0	194.25	109.19334915643901	777	71298
