Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.5044934749603271	0	26.615384615384617	14.522511940335914	68.0	9.0	26.615384615384617	14.522511940335914	1038	1038
0.8167836666107178	1	25.794871794871796	13.982002144110922	75.0	9.0	25.794871794871796	13.982002144110922	1006	2044
1.0864784717559814	2	28.61111111111111	13.157756009665043	63.0	9.0	28.61111111111111	13.157756009665043	1030	3074
1.357133150100708	3	30.818181818181817	14.397926082672244	66.0	9.0	30.818181818181817	14.397926082672244	1017	4091
1.6204025745391846	4	31.8125	19.161219787633563	76.0	12.0	31.8125	19.161219787633563	1018	5109
1.8845014572143555	5	38.73076923076923	19.77674954296603	88.0	14.0	38.73076923076923	19.77674954296603	1007	6116
2.1476805210113525	6	33.666666666666664	18.285391862236793	93.0	11.0	33.666666666666664	18.285391862236793	1010	7126
2.4052786827087402	7	34.827586206896555	18.955608696904317	84.0	10.0	34.827586206896555	18.955608696904317	1010	8136
2.6859116554260254	8	38.96296296296296	21.131828690708314	102.0	17.0	38.96296296296296	21.131828690708314	1052	9188
2.9700372219085693	9	37.18518518518518	17.890690807185145	94.0	14.0	37.18518518518518	17.890690807185145	1004	10192
3.254140853881836	10	41.52	15.844544802549551	88.0	17.0	41.52	15.844544802549551	1038	11230
3.5500242710113525	11	41.76	16.64278822793825	77.0	15.0	41.76	16.64278822793825	1044	12274
3.844057083129883	12	54.473684210526315	21.159465770424138	95.0	19.0	54.473684210526315	21.159465770424138	1035	13309
4.117133140563965	13	44.17391304347826	17.127786155867728	90.0	19.0	44.17391304347826	17.127786155867728	1016	14325
4.452301979064941	14	41.34615384615385	18.611291667017444	94.0	22.0	41.34615384615385	18.611291667017444	1075	15400
4.784092426300049	15	41.16	14.963101282822354	77.0	16.0	41.16	14.963101282822354	1029	16429
5.05942702293396	16	46.0	15.608855295516184	72.0	14.0	46.0	15.608855295516184	1012	17441
5.323855400085449	17	53.1578947368421	27.90258082365319	145.0	14.0	53.1578947368421	27.90258082365319	1010	18451
5.591249704360962	18	57.55555555555556	33.58111609260019	178.0	26.0	57.55555555555556	33.58111609260019	1036	19487
5.87488055229187	19	50.095238095238095	17.757372075804145	80.0	22.0	50.095238095238095	17.757372075804145	1052	20539
6.144078254699707	20	50.35	19.01913510126052	99.0	21.0	50.35	19.01913510126052	1007	21546
6.414964199066162	21	47.0	16.85499656158105	83.0	24.0	47.0	16.85499656158105	1034	22580
6.682806015014648	22	49.38095238095238	21.180575536215994	113.0	21.0	49.38095238095238	21.180575536215994	1037	23617
6.961571216583252	23	58.94444444444444	27.187562969985255	125.0	30.0	58.94444444444444	27.187562969985255	1061	24678
7.238540172576904	24	52.095238095238095	25.111000742237334	104.0	20.0	52.095238095238095	25.111000742237334	1094	25772
7.501739978790283	25	53.8421052631579	14.9252987553445	83.0	33.0	53.8421052631579	14.9252987553445	1023	26795
7.767110109329224	26	51.15	20.05311696470152	104.0	27.0	51.15	20.05311696470152	1023	27818
8.052660465240479	27	61.5	32.95999258360219	154.0	28.0	61.5	32.95999258360219	1107	28925
8.327068567276001	28	50.4	25.26143305515346	145.0	23.0	50.4	25.26143305515346	1008	29933
8.616764307022095	29	55.1	18.880942773071478	114.0	29.0	55.1	18.880942773071478	1102	31035
8.901095390319824	30	64.9375	28.375757148488567	128.0	29.0	64.9375	28.375757148488567	1039	32074
9.171424388885498	31	57.5	11.280514172678478	76.0	39.0	57.5	11.280514172678478	1035	33109
9.447492837905884	32	54.94736842105263	21.077485329413335	104.0	21.0	54.94736842105263	21.077485329413335	1044	34153
9.706454753875732	33	53.68421052631579	18.33332493914019	95.0	31.0	53.68421052631579	18.33332493914019	1020	35173
9.969698667526245	34	48.42857142857143	20.838543566170447	113.0	21.0	48.42857142857143	20.838543566170447	1017	36190
10.232444047927856	35	56.05555555555556	16.450167922892398	92.0	26.0	56.05555555555556	16.450167922892398	1009	37199
10.509156465530396	36	53.15	16.7758010240942	92.0	29.0	53.15	16.7758010240942	1063	38262
10.769102096557617	37	71.64285714285714	38.584984390409744	163.0	26.0	71.64285714285714	38.584984390409744	1003	39265
11.059170246124268	38	63.11764705882353	25.722231979225278	122.0	38.0	63.11764705882353	25.722231979225278	1073	40338
11.328856468200684	39	60.294117647058826	23.148534970496012	107.0	22.0	60.294117647058826	23.148534970496012	1025	41363
11.604310989379883	40	59.05555555555556	18.822186147151577	98.0	27.0	59.05555555555556	18.822186147151577	1063	42426
11.867856740951538	41	68.06666666666666	28.19330101677032	143.0	42.0	68.06666666666666	28.19330101677032	1021	43447
12.13353943824768	42	54.26315789473684	15.423297842662906	77.0	20.0	54.26315789473684	15.423297842662906	1031	44478
12.3993079662323	43	59.588235294117645	31.712047856276236	151.0	22.0	59.588235294117645	31.712047856276236	1013	45491
12.660259246826172	44	56.5	23.842655519514224	136.0	30.0	56.5	23.842655519514224	1017	46508
12.928393125534058	45	56.77777777777778	15.925366053897076	94.0	32.0	56.77777777777778	15.925366053897076	1022	47530
13.187554597854614	46	91.63636363636364	36.03854685616683	155.0	43.0	91.63636363636364	36.03854685616683	1008	48538
13.451416015625	47	68.66666666666667	15.09378091209165	99.0	43.0	68.66666666666667	15.09378091209165	1030	49568
13.720869779586792	48	69.0	22.87939393136686	119.0	44.0	69.0	22.87939393136686	1035	50603
13.997212648391724	49	75.78571428571429	30.378983739770238	148.0	36.0	75.78571428571429	30.378983739770238	1061	51664
