preOptCost	postOptCost	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.006731785	0.0033436038	0.45893096923828125	0	17.57894736842105	7.08333197544933	40.0	9.0	17.57894736842105	7.08333197544933	1002	1002
0.004836545	0.00038335068	0.7427613735198975	1	20.12	9.961204746414964	61.0	8.0	20.12	9.961204746414964	1006	2008
-0.001038175	-0.00520325	1.0062971115112305	2	22.77777777777778	12.889080458346452	74.0	11.0	22.77777777777778	12.889080458346452	1025	3033
-0.002099835	-0.004055125	1.2582759857177734	3	26.55263157894737	10.92726519554365	54.0	11.0	26.55263157894737	10.92726519554365	1009	4042
-0.005420261	-0.008598482	1.5141363143920898	4	25.675	12.085916390576264	55.0	11.0	25.675	12.085916390576264	1027	5069
-0.004288114	-0.0062908004	1.7594850063323975	5	25.25	11.246666172693132	52.0	11.0	25.25	11.246666172693132	1010	6079
-0.004423844	-0.0059221215	2.0137274265289307	6	31.5625	11.889957684954139	59.0	13.0	31.5625	11.889957684954139	1010	7089
-0.006911707	-0.009300615	2.2766215801239014	7	32.70967741935484	22.63909485878298	127.0	14.0	32.70967741935484	22.63909485878298	1014	8103
-0.0033751528	-0.0044562332	2.5362348556518555	8	34.9	15.854231822029936	80.0	13.0	34.9	15.854231822029936	1047	9150
-0.0062197675	-0.007535808	2.785566568374634	9	33.86666666666667	15.008294003279948	63.0	13.0	33.86666666666667	15.008294003279948	1016	10166
-0.0044503743	-0.0053829933	3.036445140838623	10	35.10344827586207	15.27302067448305	76.0	15.0	35.10344827586207	15.27302067448305	1018	11184
-0.003776207	-0.004529337	3.292527198791504	11	39.76923076923077	17.1986307422505	86.0	14.0	39.76923076923077	17.1986307422505	1034	12218
-0.0046141315	-0.0054984135	3.5461928844451904	12	40.64	21.314558404996337	87.0	11.0	40.64	21.314558404996337	1016	13234
-0.006593958	-0.0073122783	3.800657272338867	13	45.54545454545455	23.2627819659083	120.0	14.0	45.54545454545455	23.2627819659083	1002	14236
-0.0029362817	-0.0033047628	4.046837091445923	14	48.19047619047619	19.17244810763376	93.0	20.0	48.19047619047619	19.17244810763376	1012	15248
-0.0059403963	-0.006918446	4.289876222610474	15	38.57692307692308	21.38326642120508	95.0	16.0	38.57692307692308	21.38326642120508	1003	16251
-0.010105517	-0.011037316	4.541150093078613	16	42.333333333333336	17.57523510195209	82.0	11.0	42.333333333333336	17.57523510195209	1016	17267
-0.0054548774	-0.00600567	4.792976379394531	17	46.81818181818182	19.291157568445147	104.0	11.0	46.81818181818182	19.291157568445147	1030	18297
-0.004742661	-0.00551496	5.1690380573272705	18	50.857142857142854	28.315040112961867	131.0	22.0	50.857142857142854	28.315040112961867	1068	19365
-0.003406629	-0.0038805748	5.472518444061279	19	46.63636363636363	17.798226302194617	91.0	19.0	46.63636363636363	17.798226302194617	1026	20391
