CostPreOpt	CostPostOpt	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
19.176306	19.176306	0.4102742671966553	0	23.09090909090909	10.657515875104252	58.0	10.0	23.09090909090909	10.657515875104252	1016	1016
27.161488	27.161488	0.6512339115142822	1	28.38888888888889	18.22433930791118	103.0	10.0	28.38888888888889	18.22433930791118	1022	2038
23.543629	23.543629	0.8665823936462402	2	28.08108108108108	13.989143238990494	80.0	10.0	28.08108108108108	13.989143238990494	1039	3077
27.741306	27.741306	1.0832109451293945	3	33.03225806451613	16.72449212492351	84.0	14.0	33.03225806451613	16.72449212492351	1024	4101
26.160234	26.160234	1.2950263023376465	4	31.515151515151516	15.87092102141373	86.0	12.0	31.515151515151516	15.87092102141373	1040	5141
28.738808	28.738808	1.510432243347168	5	33.096774193548384	19.028594507976976	112.0	11.0	33.096774193548384	19.028594507976976	1026	6167
27.54281	27.54281	1.7290127277374268	6	33.833333333333336	16.104002263067677	81.0	14.0	33.833333333333336	16.104002263067677	1015	7182
29.808117	29.808117	1.9549295902252197	7	36.464285714285715	18.426460288821353	113.0	13.0	36.464285714285715	18.426460288821353	1021	8203
32.391087	32.391087	2.155364513397217	8	40.72	19.838387031207958	76.0	16.0	40.72	19.838387031207958	1018	9221
31.091429	31.091429	2.367330551147461	9	38.55555555555556	19.05612244054744	95.0	14.0	38.55555555555556	19.05612244054744	1041	10262
32.9395	32.9395	2.5838794708251953	10	46.0	16.41049505121911	91.0	19.0	46.0	16.41049505121911	1058	11320
31.476719	31.476719	2.789701223373413	11	41.16	19.15135504344275	85.0	12.0	41.16	19.15135504344275	1029	12349
34.191254	34.191254	2.992725133895874	12	45.72727272727273	18.451858290702464	82.0	18.0	45.72727272727273	18.451858290702464	1006	13355
27.03938	27.03938	3.2033069133758545	13	36.75	15.181344284539307	68.0	15.0	36.75	15.181344284539307	1029	14384
36.39221	36.39221	3.409531831741333	14	48.333333333333336	20.924656982642986	95.0	17.0	48.333333333333336	20.924656982642986	1015	15399
36.11492	36.11492	3.626183032989502	15	51.45	18.526939844453537	89.0	18.0	51.45	18.526939844453537	1029	16428
37.69344	37.69344	3.8416085243225098	16	49.666666666666664	23.69515388133864	118.0	22.0	49.666666666666664	23.69515388133864	1043	17471
30.154116	30.154116	4.06114649772644	17	44.25	14.101566106878579	74.0	17.0	44.25	14.101566106878579	1062	18533
28.868418	28.868418	4.271715402603149	18	42.583333333333336	12.40267668242984	73.0	22.0	42.583333333333336	12.40267668242984	1022	19555
34.16709	34.16709	4.482260704040527	19	49.23809523809524	16.860505448856795	78.0	24.0	49.23809523809524	16.860505448856795	1034	20589
31.939295	31.939295	4.690583944320679	20	46.31818181818182	15.586667856730413	85.0	18.0	46.31818181818182	15.586667856730413	1019	21608
35.009315	35.009315	4.899869918823242	21	48.476190476190474	20.219319021124438	91.0	15.0	48.476190476190474	20.219319021124438	1018	22626
33.65476	33.65476	5.130847454071045	22	46.916666666666664	20.39999319172	130.0	24.0	46.916666666666664	20.39999319172	1126	23752
35.532806	35.532806	5.34915018081665	23	51.9	18.53887806745597	96.0	18.0	51.9	18.53887806745597	1038	24790
35.494587	35.494587	5.557134389877319	24	50.7	20.077599458102554	91.0	18.0	50.7	20.077599458102554	1014	25804
38.00725	38.00725	5.773063659667969	25	48.72727272727273	26.3252071012864	146.0	26.0	48.72727272727273	26.3252071012864	1072	26876
44.519726	44.519726	5.979669809341431	26	55.833333333333336	32.113081446662825	134.0	15.0	55.833333333333336	32.113081446662825	1005	27881
32.377945	32.377945	6.182336091995239	27	47.0	17.709781580707414	83.0	20.0	47.0	17.709781580707414	1034	28915
38.573315	38.573315	6.387214422225952	28	52.55	23.946763873225127	104.0	23.0	52.55	23.946763873225127	1051	29966
44.855675	44.855675	6.595119476318359	29	64.0625	24.850726221782736	109.0	22.0	64.0625	24.850726221782736	1025	30991
49.511425	49.511425	6.810115575790405	30	65.875	34.410890354653716	171.0	21.0	65.875	34.410890354653716	1054	32045
40.645126	40.645126	7.024453639984131	31	63.8125	16.136986823753684	100.0	30.0	63.8125	16.136986823753684	1021	33066
39.927013	39.927013	7.231298208236694	32	54.1578947368421	25.668459363471403	123.0	23.0	54.1578947368421	25.668459363471403	1029	34095
38.042885	38.042885	7.442676782608032	33	57.77777777777778	19.15885509092497	94.0	20.0	57.77777777777778	19.15885509092497	1040	35135
37.543507	37.543507	7.662883281707764	34	50.333333333333336	26.355325355669102	117.0	17.0	50.333333333333336	26.355325355669102	1057	36192
33.842007	33.842007	7.870039224624634	35	53.31578947368421	14.942178491135147	89.0	28.0	53.31578947368421	14.942178491135147	1013	37205
35.219788	35.219788	8.09334397315979	36	52.5	19.66341781074694	117.0	27.0	52.5	19.66341781074694	1050	38255
39.375717	39.375717	8.327528238296509	37	60.294117647058826	21.638105565338833	128.0	42.0	60.294117647058826	21.638105565338833	1025	39280
42.232224	42.232224	8.545974969863892	38	61.35294117647059	23.46697598621766	104.0	23.0	61.35294117647059	23.46697598621766	1043	40323
37.843605	37.843605	8.75442099571228	39	60.11764705882353	18.600703190190156	114.0	34.0	60.11764705882353	18.600703190190156	1022	41345
43.67407	43.67407	8.973041296005249	40	58.333333333333336	28.788500790728538	137.0	25.0	58.333333333333336	28.788500790728538	1050	42395
41.295605	41.295605	9.188626527786255	41	60.77777777777778	22.853532563200897	117.0	25.0	60.77777777777778	22.853532563200897	1094	43489
37.195843	37.195843	9.396022319793701	42	55.94444444444444	21.639655527711728	110.0	29.0	55.94444444444444	21.639655527711728	1007	44496
42.684338	42.684338	9.607480525970459	43	61.64705882352941	26.301288665522225	139.0	31.0	61.64705882352941	26.301288665522225	1048	45544
42.94373	42.94373	9.819891929626465	44	60.88235294117647	27.30843944739251	127.0	24.0	60.88235294117647	27.30843944739251	1035	46579
36.849483	36.849483	10.045727491378784	45	57.166666666666664	18.16972451329103	101.0	29.0	57.166666666666664	18.16972451329103	1029	47608
35.73113	35.73113	10.25504446029663	46	55.0	17.189347986777342	88.0	30.0	55.0	17.189347986777342	1045	48653
41.262627	41.262627	10.482056856155396	47	64.17647058823529	20.878458626107346	112.0	28.0	64.17647058823529	20.878458626107346	1091	49744
50.237232	50.237232	10.698988914489746	48	64.75	38.84665365253486	200.0	33.0	64.75	38.84665365253486	1036	50780
43.86139	43.86139	10.912768840789795	49	66.375	24.152833684683873	140.0	38.0	66.375	24.152833684683873	1062	51842
37.977154	37.977154	11.11588740348816	50	57.333333333333336	20.18800523963563	96.0	33.0	57.333333333333336	20.18800523963563	1032	52874
53.527412	53.527412	11.328332901000977	51	72.14285714285714	37.05952189741938	178.0	27.0	72.14285714285714	37.05952189741938	1010	53884
37.644894	37.644894	11.542324304580688	52	57.333333333333336	20.709632756012088	105.0	27.0	57.333333333333336	20.709632756012088	1032	54916
33.59058	33.59058	11.749452114105225	53	53.0	14.779074823262075	85.0	27.0	53.0	14.779074823262075	1007	55923
49.093338	49.093338	11.963190078735352	54	71.0	32.095690261051146	164.0	29.0	71.0	32.095690261051146	1065	56988
38.499657	38.499657	12.169031381607056	55	57.333333333333336	21.674357609345144	110.0	28.0	57.333333333333336	21.674357609345144	1032	58020
33.37881	33.37881	12.398627042770386	56	54.94736842105263	15.822946974869414	96.0	28.0	54.94736842105263	15.822946974869414	1044	59064
50.338436	50.338436	12.611717224121094	57	77.0	25.6694970134414	127.0	47.0	77.0	25.6694970134414	1001	60065
44.00751	44.00751	12.81976866722107	58	64.6875	27.008606845781586	158.0	40.0	64.6875	27.008606845781586	1035	61100
37.787983	37.787983	13.036134004592896	59	61.11764705882353	17.914444887859027	97.0	39.0	61.11764705882353	17.914444887859027	1039	62139
40.99546	40.99546	13.24297046661377	60	63.3125	23.608046165449608	145.0	40.0	63.3125	23.608046165449608	1013	63152
36.732975	36.732975	13.458040475845337	61	54.473684210526315	22.151080337329	122.0	25.0	54.473684210526315	22.151080337329	1035	64187
39.136497	39.136497	13.670013189315796	62	56.22222222222222	21.801008018375754	100.0	24.0	56.22222222222222	21.801008018375754	1012	65199
40.252747	40.252747	13.875405550003052	63	64.125	20.32816703492964	110.0	34.0	64.125	20.32816703492964	1026	66225
42.577724	42.577724	14.087760210037231	64	69.4	16.74435228168989	100.0	46.0	69.4	16.74435228168989	1041	67266
63.130997	63.130997	14.296920776367188	65	79.07692307692308	48.44896051669147	200.0	27.0	79.07692307692308	48.44896051669147	1028	68294
50.574593	50.574593	14.5084707736969	66	67.8	36.094690283567566	184.0	32.0	67.8	36.094690283567566	1017	69311
42.18264	42.18264	14.724662065505981	67	65.9375	23.471974645308393	109.0	31.0	65.9375	23.471974645308393	1055	70366
45.334915	45.334915	14.932260036468506	68	63.75	31.85612186064085	172.0	35.0	63.75	31.85612186064085	1020	71386
45.752293	45.752293	15.14275336265564	69	72.85714285714286	23.954889577993832	120.0	39.0	72.85714285714286	23.954889577993832	1020	72406
38.98226	38.98226	15.350343465805054	70	63.375	20.297398232285833	108.0	30.0	63.375	20.297398232285833	1014	73420
43.24912	43.24912	15.571840763092041	71	65.9375	25.567236724957198	124.0	23.0	65.9375	25.567236724957198	1055	74475
51.48736	51.48736	15.786912441253662	72	80.84615384615384	25.43724148640866	141.0	48.0	80.84615384615384	25.43724148640866	1051	75526
49.020206	49.020206	15.999115943908691	73	73.64285714285714	29.102300210653805	145.0	32.0	73.64285714285714	29.102300210653805	1031	76557
46.60787	46.60787	16.204036474227905	74	71.64285714285714	25.56673939448099	136.0	39.0	71.64285714285714	25.56673939448099	1003	77560
48.90194	48.90194	16.41480255126953	75	73.71428571428571	29.268287497925545	139.0	31.0	73.71428571428571	29.268287497925545	1032	78592
46.96892	46.96892	16.628214359283447	76	73.92857142857143	27.120009180661864	127.0	24.0	73.92857142857143	27.120009180661864	1035	79627
47.993824	47.993824	16.841404914855957	77	79.6923076923077	18.975225205452322	113.0	51.0	79.6923076923077	18.975225205452322	1036	80663
51.326244	51.326244	17.047603607177734	78	78.6923076923077	31.638303502569634	143.0	38.0	78.6923076923077	31.638303502569634	1023	81686
47.191742	47.191742	17.257455348968506	79	73.85714285714286	26.27018174622307	136.0	34.0	73.85714285714286	26.27018174622307	1034	82720
38.996605	38.996605	17.461909770965576	80	64.75	18.098687797738265	95.0	38.0	64.75	18.098687797738265	1036	83756
