preOptCost	postOptCost	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.013561841	-0.0059945663	1.5801496505737305	0	18.236363636363638	8.463748656612745	51.0	9.0	18.236363636363638	8.463748656612745	1003	1003
-0.00084817514	-0.025176747	1.9441192150115967	1	24.853658536585368	15.720983298871694	78.0	9.0	24.853658536585368	15.720983298871694	1019	2022
-0.0064385934	-0.0142645845	2.2518320083618164	2	34.333333333333336	17.707499980391237	82.0	9.0	34.333333333333336	17.707499980391237	1030	3052
-0.0022944915	-0.008760801	2.5549986362457275	3	47.666666666666664	28.129519037300327	127.0	11.0	47.666666666666664	28.129519037300327	1001	4053
-0.0028791183	-0.005452474	2.8535003662109375	4	61.294117647058826	28.97009554672126	131.0	19.0	61.294117647058826	28.97009554672126	1042	5095
-0.0010450179	-0.0037244444	3.151583194732666	5	75.07142857142857	35.17195369226185	140.0	32.0	75.07142857142857	35.17195369226185	1051	6146
0.0010682114	0.0006209732	3.447431802749634	6	72.07142857142857	25.001326495420443	124.0	36.0	72.07142857142857	25.001326495420443	1009	7155
-0.0052738716	-0.007661468	3.756516456604004	7	89.33333333333333	34.502012823730865	139.0	31.0	89.33333333333333	34.502012823730865	1072	8227
0.0008289591	-0.00067046215	4.050828456878662	8	92.27272727272727	30.786924346933414	146.0	56.0	92.27272727272727	30.786924346933414	1015	9242
0.0008687885	0.0007023313	4.352542877197266	9	132.25	20.69873184521216	165.0	101.0	132.25	20.69873184521216	1058	10300
-0.0018130497	-0.00217013	13.051546335220337	10	126.75	18.383076456349738	163.0	111.0	126.75	18.383076456349738	1014	11314
-0.0043752007	-0.005006293	13.360300540924072	11	135.0	31.697791721190924	193.0	94.0	135.0	31.697791721190924	1080	12394
-0.0034543504	-0.004662207	13.647203922271729	12	127.75	24.350308006265546	175.0	96.0	127.75	24.350308006265546	1022	13416
0.0005892685	0.000363948	13.944740056991577	13	149.71428571428572	20.175758337415623	178.0	126.0	149.71428571428572	20.175758337415623	1048	14464
-0.00063629355	-0.0010236516	14.263834476470947	14	160.28571428571428	31.895876516808727	200.0	107.0	160.28571428571428	31.895876516808727	1122	15586
-0.003700946	-0.0044261613	14.595553874969482	15	132.22222222222223	32.32741450216923	195.0	84.0	132.22222222222223	32.32741450216923	1190	16776
0.00069026084	0.00010885191	14.919610977172852	16	163.14285714285714	27.580679425116063	200.0	138.0	163.14285714285714	27.580679425116063	1142	17918
0.0005546726	0.0005010134	15.232247829437256	17	154.85714285714286	18.239897958898247	173.0	126.0	154.85714285714286	18.239897958898247	1084	19002
-0.0011004509	-0.0021338954	15.564399003982544	18	167.57142857142858	26.125286835648293	200.0	127.0	167.57142857142858	26.125286835648293	1173	20175
-0.004179646	-0.005084139	15.902579069137573	19	168.71428571428572	27.426339194880768	200.0	127.0	168.71428571428572	27.426339194880768	1181	21356
