OptCost	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
-0.041412845	2.9597506523132324	0	11.681818181818182	6.074434980356488	31.0	4.0	11.681818181818182	6.074434980356488	514	514
-0.019348199	3.168588876724243	1	13.916666666666666	8.450427339621484	38.0	4.0	13.916666666666666	8.450427339621484	501	1015
-0.007774825	3.3357093334198	2	13.657894736842104	6.66205403677572	30.0	4.0	13.657894736842104	6.66205403677572	519	1534
-0.056088742	3.4877638816833496	3	18.666666666666668	8.073734277593312	40.0	5.0	18.666666666666668	8.073734277593312	504	2038
-0.078443535	3.664558172225952	4	12.75	5.726037023980896	31.0	5.0	12.75	5.726037023980896	510	2548
-0.063477196	3.8151538372039795	5	14.314285714285715	7.335905547652699	29.0	3.0	14.314285714285715	7.335905547652699	501	3049
-0.07112862	3.970149040222168	6	15.147058823529411	7.635568290192083	35.0	4.0	15.147058823529411	7.635568290192083	515	3564
-0.08211226	4.122333526611328	7	17.620689655172413	10.623376283569492	55.0	5.0	17.620689655172413	10.623376283569492	511	4075
-0.084327854	4.279439449310303	8	16.677419354838708	8.626243142853404	43.0	5.0	16.677419354838708	8.626243142853404	517	4592
0.0057040923	4.424692630767822	9	25.15	17.34437949308075	75.0	10.0	25.15	17.34437949308075	503	5095
-0.0627386	4.576420068740845	10	19.46153846153846	8.789113761356099	40.0	7.0	19.46153846153846	8.789113761356099	506	5601
-0.022481175	4.732012510299683	11	19.48148148148148	9.020020408822974	36.0	5.0	19.48148148148148	9.020020408822974	526	6127
-0.02767096	4.8830037117004395	12	20.28	8.8837829779886	42.0	9.0	20.28	8.8837829779886	507	6634
-0.079219095	5.040827035903931	13	20.96	10.02189602819746	45.0	7.0	20.96	10.02189602819746	524	7158
-0.005019362	5.196122884750366	14	20.26923076923077	9.354380678047184	42.0	7.0	20.26923076923077	9.354380678047184	527	7685
-0.07831218	5.352535009384155	15	25.571428571428573	15.05409746016466	61.0	7.0	25.571428571428573	15.05409746016466	537	8222
-0.013207194	5.502325057983398	16	20.72	6.232302945139942	34.0	10.0	20.72	6.232302945139942	518	8740
-0.021148104	5.653565168380737	17	21.416666666666668	11.48882307094837	65.0	10.0	21.416666666666668	11.48882307094837	514	9254
-0.094219916	5.7963385581970215	18	25.45	10.735338839552295	49.0	11.0	25.45	10.735338839552295	509	9763
-0.08570244	5.942587375640869	19	21.041666666666668	8.064733756024161	41.0	6.0	21.041666666666668	8.064733756024161	505	10268
-0.0025179284	6.087299108505249	20	28.11111111111111	12.087132225308812	51.0	11.0	28.11111111111111	12.087132225308812	506	10774
-0.0010148952	6.233946323394775	21	30.058823529411764	12.350139738363021	56.0	10.0	30.058823529411764	12.350139738363021	511	11285
-0.04518218	6.380422115325928	22	28.22222222222222	11.970127426944291	57.0	13.0	28.22222222222222	11.970127426944291	508	11793
-0.13618346	6.53028130531311	23	28.666666666666668	14.571661996262929	69.0	10.0	28.666666666666668	14.571661996262929	516	12309
