preOptCost	postOptCost	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
11.489809	11.368427	1.8410699367523193	0	23.976190476190474	13.840052462118596	75.0	10.0	23.976190476190474	13.840052462118596	1007	1007
10.450748	10.366691	2.092123031616211	1	24.829268292682926	10.555087639350063	53.0	8.0	24.829268292682926	10.555087639350063	1018	2025
12.164455	12.071891	2.2960972785949707	2	24.878048780487806	15.54410738001777	79.0	9.0	24.878048780487806	15.54410738001777	1020	3045
12.422739	12.340535	2.4940237998962402	3	29.057142857142857	13.905688162234409	76.0	10.0	29.057142857142857	13.905688162234409	1017	4062
12.030112	11.977937	2.69852352142334	4	27.45945945945946	14.24988306181435	71.0	9.0	27.45945945945946	14.24988306181435	1016	5078
13.0683155	13.025353	2.894320011138916	5	28.027027027027028	16.84185020086744	84.0	11.0	28.027027027027028	16.84185020086744	1037	6115
15.3881235	15.341863	3.095001697540283	6	34.758620689655174	19.40610492711844	94.0	9.0	34.758620689655174	19.40610492711844	1008	7123
15.71816	15.653313	3.2948546409606934	7	39.07692307692308	17.869017184723088	78.0	12.0	39.07692307692308	17.869017184723088	1016	8139
19.348059	19.303083	3.502324104309082	8	46.5	23.74437732486271	112.0	14.0	46.5	23.74437732486271	1023	9162
19.911291	19.863392	3.6976683139801025	9	46.27272727272727	25.923281600245364	101.0	16.0	46.27272727272727	25.923281600245364	1018	10180
18.378736	18.341328	3.9045300483703613	10	46.17391304347826	21.71886011484237	107.0	18.0	46.17391304347826	21.71886011484237	1062	11242
26.669834	26.595596	4.113809585571289	11	70.2	30.160017683460776	113.0	17.0	70.2	30.160017683460776	1053	12295
19.039515	18.989838	4.315230369567871	12	49.38095238095238	22.427610938891902	85.0	14.0	49.38095238095238	22.427610938891902	1037	13332
22.376497	22.362068	4.514119386672974	13	51.65	30.609271471238905	140.0	13.0	51.65	30.609271471238905	1033	14365
22.80234	22.776978	4.7228004932403564	14	59.5	27.062171219455234	113.0	27.0	59.5	27.062171219455234	1071	15436
27.497972	27.441303	4.935208797454834	15	65.58823529411765	38.044956106179264	154.0	23.0	65.58823529411765	38.044956106179264	1115	16551
24.628468	24.609638	5.178082466125488	16	62.88235294117647	30.907608720452785	145.0	24.0	62.88235294117647	30.907608720452785	1069	17620
34.740368	34.66662	5.369861364364624	17	84.75	47.2760069520823	200.0	34.0	84.75	47.2760069520823	1017	18637
23.603567	23.555738	5.579376697540283	18	62.94117647058823	29.458785942468033	116.0	17.0	62.94117647058823	29.458785942468033	1070	19707
32.627213	32.58457	5.787458419799805	19	91.91666666666667	35.81772916060177	170.0	43.0	91.91666666666667	35.81772916060177	1103	20810
29.2149	29.171793	9.069311380386353	20	74.35714285714286	36.77267452656571	156.0	32.0	74.35714285714286	36.77267452656571	1041	21851
34.52269	34.470287	9.277103424072266	21	85.58333333333333	48.06325403974318	200.0	44.0	85.58333333333333	48.06325403974318	1027	22878
31.766403	31.680195	9.474307537078857	22	81.07692307692308	42.17265161664249	142.0	20.0	81.07692307692308	42.17265161664249	1054	23932
38.235065	38.17499	9.677351236343384	23	93.18181818181819	54.41059085044211	200.0	30.0	93.18181818181819	54.41059085044211	1025	24957
38.157436	38.084995	9.887398481369019	24	89.91666666666667	56.22345052457105	200.0	29.0	89.91666666666667	56.22345052457105	1079	26036
39.190975	39.15115	10.082790851593018	25	102.8	51.1327683584607	200.0	40.0	102.8	51.1327683584607	1028	27064
40.25985	40.251297	10.288401365280151	26	117.55555555555556	42.408361626010375	190.0	59.0	117.55555555555556	42.408361626010375	1058	28122
43.955837	43.93807	10.486195087432861	27	127.875	45.57805804331729	200.0	62.0	127.875	45.57805804331729	1023	29145
