preOptCost	postOptCost	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
11.715077	11.609713	1.6074283123016357	0	25.146341463414632	13.712307051108889	70.0	9.0	25.146341463414632	13.712307051108889	1031	1031
10.165722	10.106569	1.8305773735046387	1	22.288888888888888	11.624920018309751	59.0	11.0	22.288888888888888	11.624920018309751	1003	2034
10.430776	10.365124	2.0407814979553223	2	23.833333333333332	11.495168067013587	69.0	9.0	23.833333333333332	11.495168067013587	1001	3035
14.103186	14.007693	2.2333011627197266	3	31.3125	17.019175765882437	78.0	8.0	31.3125	17.019175765882437	1002	4037
19.832989	19.701244	2.4388763904571533	4	31.78125	28.814855516512658	123.0	9.0	31.78125	28.814855516512658	1017	5054
14.40463	14.38141	2.634852886199951	5	26.342105263157894	20.26959911294365	122.0	10.0	26.342105263157894	20.26959911294365	1001	6055
15.742471	15.660288	2.838491439819336	6	37.111111111111114	18.619649782546702	86.0	11.0	37.111111111111114	18.619649782546702	1002	7057
14.400137	14.336296	3.0388741493225098	7	33.645161290322584	17.418100313248072	79.0	9.0	33.645161290322584	17.418100313248072	1043	8100
14.080135	14.060958	3.2477827072143555	8	33.46666666666667	16.32938727842808	74.0	13.0	33.46666666666667	16.32938727842808	1004	9104
17.063955	17.032017	3.453261137008667	9	40.2	21.027600909281116	108.0	14.0	40.2	21.027600909281116	1005	10109
16.441969	16.356054	3.6616783142089844	10	41.04	19.391709568782222	88.0	15.0	41.04	19.391709568782222	1026	11135
17.988546	17.910662	3.8681185245513916	11	43.91304347826087	22.29625245071323	97.0	12.0	43.91304347826087	22.29625245071323	1010	12145
19.605497	19.576178	4.077192068099976	12	44.0	26.38016382584196	103.0	11.0	44.0	26.38016382584196	1012	13157
22.334843	22.2702	4.310034275054932	13	57.68421052631579	26.066822291501726	108.0	20.0	57.68421052631579	26.066822291501726	1096	14253
19.701801	19.663465	4.527064085006714	14	42.24	28.25636919351104	144.0	12.0	42.24	28.25636919351104	1056	15309
25.740963	25.703058	4.765891790390015	15	53.80952380952381	37.816120331362654	179.0	17.0	53.80952380952381	37.816120331362654	1130	16439
17.78626	17.751133	4.960168838500977	16	43.78260869565217	22.98573569343866	125.0	16.0	43.78260869565217	22.98573569343866	1007	17446
25.98334	25.912691	5.188297510147095	17	71.26666666666667	28.86628175263004	123.0	25.0	71.26666666666667	28.86628175263004	1069	18515
24.575815	24.57102	5.44547438621521	18	55.26315789473684	33.7246467817532	141.0	20.0	55.26315789473684	33.7246467817532	1050	19565
19.583551	19.552826	5.665361166000366	19	55.578947368421055	19.25812416255508	93.0	17.0	55.578947368421055	19.25812416255508	1056	20621
18.395657	18.37064	8.50464677810669	20	48.77272727272727	21.272970084084335	101.0	16.0	48.77272727272727	21.272970084084335	1073	21694
23.82275	23.757183	8.725270986557007	21	66.1875	25.673962369490223	117.0	29.0	66.1875	25.673962369490223	1059	22753
27.292215	27.244614	8.928417921066284	22	67.46666666666667	38.07863209494561	169.0	24.0	67.46666666666667	38.07863209494561	1012	23765
27.084757	27.047401	9.137669563293457	23	74.57142857142857	31.752872278885004	143.0	27.0	74.57142857142857	31.752872278885004	1044	24809
25.678257	25.646358	9.332782983779907	24	67.13333333333334	33.74979835330708	141.0	17.0	67.13333333333334	33.74979835330708	1007	25816
31.378643	31.357548	9.55781888961792	25	80.35714285714286	40.877180401184965	166.0	26.0	80.35714285714286	40.877180401184965	1125	26941
28.083233	27.993334	9.84485411643982	26	81.85714285714286	31.247530514671173	148.0	35.0	81.85714285714286	31.247530514671173	1146	28087
28.390097	28.378202	10.167635202407837	27	73.92857142857143	36.41519362203931	167.0	19.0	73.92857142857143	36.41519362203931	1035	29122
29.784117	29.762123	10.620609998703003	28	83.66666666666667	33.369979855486214	145.0	44.0	83.66666666666667	33.369979855486214	1004	30126
37.91769	37.838833	11.098854541778564	29	100.0909090909091	52.79368857845612	200.0	45.0	100.0909090909091	52.79368857845612	1101	31227
42.01878	41.886818	11.815204620361328	30	120.77777777777777	49.23814640833258	200.0	53.0	120.77777777777777	49.23814640833258	1087	32314
33.64913	33.532597	12.32072377204895	31	100.3	36.40618079392564	151.0	25.0	100.3	36.40618079392564	1003	33317
43.4849	43.40505	12.791027069091797	32	126.625	49.88220499336412	200.0	41.0	126.625	49.88220499336412	1013	34330
48.25349	48.11048	13.320389986038208	33	138.375	54.47232668979727	200.0	49.0	138.375	54.47232668979727	1107	35437
40.19907	40.21792	13.78331708908081	34	116.0	44.16635220013836	200.0	57.0	116.0	44.16635220013836	1044	36481
54.85956	54.71486	14.303004264831543	35	167.0	58.29522564784644	200.0	38.0	167.0	58.29522564784644	1002	37483
51.642735	51.472164	14.913314580917358	36	164.28571428571428	43.404128459709206	200.0	70.0	164.28571428571428	43.404128459709206	1150	38633
51.164516	51.228474	15.419631719589233	37	168.33333333333334	30.384572108591925	200.0	113.0	168.33333333333334	30.384572108591925	1010	39643
50.466007	50.469173	15.926639318466187	38	150.14285714285714	55.49627676424678	200.0	42.0	150.14285714285714	55.49627676424678	1051	40694
49.350613	49.357643	16.597086668014526	39	157.28571428571428	40.00969270319483	200.0	92.0	157.28571428571428	40.00969270319483	1101	41795
55.937683	55.943718	27.503215789794922	40	184.33333333333334	35.031731647496706	200.0	106.0	184.33333333333334	35.031731647496706	1106	42901
49.13254	49.10619	27.733673572540283	41	156.14285714285714	44.51782490973562	200.0	101.0	156.14285714285714	44.51782490973562	1093	43994
48.484093	48.4328	28.10318946838379	42	144.42857142857142	53.27249931881805	200.0	77.0	144.42857142857142	53.27249931881805	1011	45005
